year,j_day,TS,VS,N,P,K,TS_liquid,VS_liquid,N_liquid,P_liquid,K_liquid,TS_DM_effluent,CH4_emissions
,,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
2011,106,12642642.981284633,24626814.973960735,14276023.801450232,1241828.2045071619,2095470.6508921024,36874375.362080246,20149212.251422428,33310722.203383885,1862742.306760744,11874333.68838858,5668.102390798531,12546.832291950579
2011,107,12665315.211404342,24670978.588881418,14296830.509696256,1243711.8451243616,2099250.2174165696,36940502.699929394,20185346.118175715,33359271.189291276,1865567.7676865435,11895751.232027229,5668.057529926893,12567.689746818673
2011,108,12687987.438572407,24715142.19805254,14317645.080809537,1245595.5304423128,2103031.4688205835,37006630.02916958,20221479.980224818,33407838.52188893,1868393.2956634706,11917178.323316641,5668.056792016134,12588.547201686768
2011,109,12710661.687780416,24759309.74598898,14339294.382339243,1247458.511069843,2106319.9597412795,37072763.25602628,20257617.06490008,33458353.558791578,1871187.7666047662,11935813.105200585,5668.562302002477,12609.404656554862
2011,110,12733335.93403944,24803477.288181037,14360951.555797355,1249500.2449127752,2109695.534561389,37138896.474281766,20293754.144875403,33508886.963527173,1874250.3673691645,11954941.36251454,5668.561564756219,12630.262111422959
2011,111,12756010.17735082,24847644.82463133,14382616.605786344,1251542.0232471835,2113058.7509199525,37205029.68393996,20329891.220152915,33559438.746834815,1877313.034870777,11973999.5885464,5668.56082784513,12651.119566291056
2011,112,12778684.238905795,24891812.007035293,14404288.988358557,1253583.8458413733,2116450.787514636,37271162.36347531,20366028.005756162,33610007.639503315,1880375.7687620616,11993221.129249606,5668.515388744072,12671.977021159153
2011,113,12801358.297587343,24935979.183842055,14425969.202391801,1255625.7130299446,2119846.327145811,37337295.03462982,20402164.786779877,33660594.805580884,1883438.5695449184,12012462.520492932,5668.514670386929,12692.834476027247
2011,114,12824031.98682617,24980145.64100519,14447657.369621707,1257667.6241898234,2123299.2915634834,37403426.62824307,20438300.979004256,33711200.52911733,1886501.4362847365,12032029.318859741,5668.422309706877,12713.691930895342
2011,115,12846705.673418526,25024312.093013212,14469353.244304948,1259709.5805407648,2126739.747378178,37469558.214137435,20474437.16701082,33761824.23671156,1889564.3708111485,12051525.235143011,5668.421648088515,12734.549385763436
2011,116,12869376.473528128,25068472.922393378,14490500.07943967,1261661.036006097,2129968.1118479716,37535681.38112378,20510568.754685506,33811166.85202591,1892491.5540091468,12069819.30047184,5667.7000274009315,12755.406840631531
2011,117,12892047.110518986,25112633.43403182,14511653.035923118,1263430.215681239,2133654.5472148377,37601804.07234712,20546700.082389683,33860523.7504873,1895145.3235218597,12090709.100884082,5667.659247714587,12776.264295499624
2011,118,12914717.745315822,25156793.94139649,14532813.47115722,1265199.4378440117,2137347.552807497,37667926.75717122,20582831.406597145,33909898.099366866,1897799.1567660188,12111636.132575817,5667.658699209034,12797.121750367722
2011,119,12937388.377730636,25200954.444121182,14553981.389468456,1266968.7027348513,2141037.3476932156,37734049.43504776,20618962.727008253,33959289.90875975,1900453.054102278,12132544.970261557,5667.658103703543,12817.979205235815
2011,120,12960059.007770358,25245114.94221939,14575156.795237245,1268738.0105971585,2144726.180392411,37800172.10599695,20655094.04363406,34008699.188886926,1903107.015895739,12153448.355556998,5667.657509930604,12838.83666010391
2011,121,12345405.288301386,24047820.717837118,13603900.104141027,1182507.3606234158,2001214.7389108732,36007432.09087911,19675489.67823039,31742433.57632908,1773761.0409351252,11340216.853828281,5667.573683940791,12859.694114972006
2011,122,12368075.40572449,24091980.217400875,13625089.76095227,1184276.753525574,2005024.2843716494,36073553.266696505,19711620.177873462,31791876.108888645,1776415.1302883625,11361804.278106013,5667.529355776187,12880.5515698401
2011,123,12389876.120216332,24134446.19250478,13642901.037620598,1185844.17780857,2007812.2391983217,36137138.68396439,19746365.06659484,31833435.75444808,1778766.2667128562,11377602.688790489,5667.581114072425,12901.409024708197
2011,124,12410806.560600605,24175216.946169972,13659365.846545782,1187314.8017777144,2010746.7403878325,36198185.801751845,19779722.95595727,31871853.641940176,1780972.202666573,11394231.528864382,5667.580686974446,12922.26647957629
2011,125,12433476.703345945,24219376.495059334,13678546.307619115,1189025.4650039703,2014108.1625495276,36264307.051425755,19815853.495957658,31916608.051111285,1783538.197505957,11413279.587780654,5667.5356863348625,12943.123934444386
2011,126,12456146.520809906,24263535.410327673,13697731.816713847,1190736.1672701177,2017562.410855025,36330427.352362305,19851983.517540842,31961374.23899899,1786104.250905178,11432853.661511807,5667.454365990143,12963.98138931248
2011,127,12478816.33687053,24307694.32286243,13716924.355191844,1192446.9096670912,2021005.3652021287,36396547.64920579,19888113.536887463,32006156.828780983,1788670.3645006383,11452363.736145394,5667.454015156302,12984.838844180578
2011,128,12501486.151484044,24351853.232578337,13736123.886436582,1194157.6923401302,2024445.778506205,36462667.94182854,19924243.55392775,32050955.735018704,1791236.5385101966,11471859.41153516,5667.453653378496,13005.696299048674
2011,129,12524155.96477667,24396012.139721267,13755330.371528726,1195868.5153092423,2027881.1097037639,36528788.2305987,19960373.568862874,32095770.866900373,1793802.7729638645,11491326.288321327,5667.453323156628,13026.553753916769
2011,130,12546825.540000098,24440170.583125234,13773494.274884075,1197527.417082399,2030728.1419208262,36594907.82500037,19996503.20437521,32138153.30806285,1796291.1256235996,11507459.47088468,5667.393805856763,13047.411208784863
2011,131,12569495.113931436,24484329.02401232,13791665.14024774,1199190.7390125252,2033883.9674898628,36661027.41563344,20032632.837828282,32180551.993911404,1798786.108518789,11525342.482442556,5667.393482834782,13068.26866365296
2011,132,12592164.507280454,24528487.11314009,13809844.652039934,1200854.0999677633,2037071.065951579,36727146.47956808,20068762.18347828,32222970.854759853,1801281.1499516463,11543402.707058948,5667.348337254487,13089.126118521053
2011,133,12614833.74690734,24572644.902829964,13828029.041512405,1202517.5001370166,2040308.7629491005,36793265.09514649,20104891.284133628,32265401.096862286,1803776.2502055264,11561749.656711569,5667.309906721457,13109.983573389149
2011,134,12637502.807802372,24616802.344365075,13846221.758153973,1204180.9395839372,2043578.6401469035,36859383.18942367,20141020.099935085,32307850.769025944,1806271.4093759072,11580278.960832452,5667.265223757921,13130.841028257242
2011,135,12660171.691886263,24660959.441486824,13864422.504287548,1205844.4184626276,2046882.1548754685,36925500.76800169,20177148.63394379,32350319.176670954,1808766.6276939425,11598998.877627654,5667.22102097288,13151.698483125338
2011,136,12682840.57512635,24705116.53696491,13882630.03002526,1207507.937208242,2050183.9638731382,36991618.34411861,20213277.166607678,32392803.40339228,1811261.905812364,11617709.12861445,5667.220810021756,13172.555937993435
2011,137,12705510.508116603,24749275.67726884,13898299.86426823,1209119.3847338695,2052700.8881121657,37057738.98200685,20249407.37231089,32429366.34995921,1813679.0771008052,11631971.699302273,5667.483247563182,13193.41339286153
2011,138,12728180.440395687,24793434.816187475,13913976.442914858,1210811.1383742809,2055345.434063031,37123859.617820844,20285537.576880686,32465945.033468008,1816216.7075614226,11646957.459690511,5667.48306977161,13214.270847729626
2011,139,12750850.371982165,24837593.953756966,13929659.77008917,1212502.9303019133,2057986.341808552,37189980.251614735,20321667.780346632,32502539.4635414,1818754.3954528712,11661922.603581795,5667.482896619111,13235.128302597723
2011,140,12773520.121894602,24881752.73744057,13945352.405926023,1214194.7602786154,2060649.6705025663,37256100.355526015,20357797.694269583,32539155.61382739,1821292.1404179242,11677014.799514543,5667.437478109641,13255.985757465816
