year,manure_P_applied,P_uptake,fert_P_leached,M_leach,DRP_drainage,M_DRP_runoff,fert_P_runoff,DRP_runoff,MIP_runoff,MOP_runoff,profile_P,STP
,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
1992,0.0,0.0,0.0,0.0,0.0,0.031949511822518754,0.0,0.009237952433687075,0.0,0.0,0.0,121.23586955654316
1993,0.0,0.0,0.0,0.0,0.0033194165525425407,0.05052317497786253,0.0,0.00856663138537525,0.0,0.0,0.0,121.10410983953555
1994,0.0,0.0,0.0,0.0,0.0,0.04249603099386399,0.0,0.009981175438358988,0.0,0.0,0.0,121.05061783225487
1995,0.0,0.0,0.0,0.0,0.014948051211302785,0.058331523788615856,0.0,0.010150907053290246,0.0,0.0,0.0,120.92408476422935
1996,0.0,0.0,0.0,0.0,0.005161642017775573,0.05819081818287048,0.0,0.017860086524584234,0.0,0.0,0.0,120.84379599397299
1997,0.0,0.0,0.0,0.0,0.0033400612956923214,0.04090995747259144,0.0,0.006859670435943503,0.0,0.0,0.0,120.72286092054787
1998,0.0,0.0,0.0,0.0,0.007787598865421663,0.05008239877641329,0.0,0.009564411189586817,0.0,0.0,0.0,120.66453582512868
1999,0.0,0.0,0.0,0.0,0.008015089924548415,0.04605216532403968,0.0,0.006452439506401773,0.0,0.0,0.0,120.62184866167354
2000,0.0,0.0,0.0,0.0,0.0020264712046583265,0.042057510101594524,0.0,0.007066570237442947,0.0,0.0,0.0,120.5881779509731
2001,0.0,0.0,0.0,0.0,0.0,0.040710493215408615,0.0,0.008976453585281107,0.0,0.0,0.0,120.54400852483703
2002,0.0,0.0,0.0,0.0,0.0,0.030178760042515948,0.0,0.005243105546598953,0.0,0.0,0.0,120.42418090032393
2003,0.0,0.0,0.0,0.0,0.0008841193612208332,0.03147267293064143,0.0,0.0044667458847863885,0.0,0.0,0.0,120.39262144047456
2004,0.0,0.0,0.0,0.0,0.0014873537220320044,0.052404590436877625,0.0,0.009856309302534031,0.0,0.0,0.0,120.34582441611155
2005,0.0,0.0,0.0,0.0,0.007051898285511625,0.05492605609073725,0.0,0.017073016724773814,0.0,0.0,0.0,120.21760007734973
2006,0.0,0.0,0.0,0.0,0.011197143008141801,0.05999585357314451,0.0,0.010255941495511987,0.0,0.0,0.0,120.09080148421059
2007,0.0,0.0,0.0,0.0,0.00018834948822107325,0.03387165283246951,0.0,0.004372044840153305,0.0,0.0,0.0,120.02621790903667
2008,0.0,0.0,0.0,0.0,0.0,0.04296326652197171,0.0,0.00826871794827001,0.0,0.0,0.0,119.98919385273493
2009,0.0,0.0,0.0,0.0,0.0023862678481859786,0.05591933445993572,0.0,0.009576432525680778,0.0,0.0,0.0,119.93665065183869
2010,0.0,0.0,0.0,0.0,0.0020940467942229682,0.05714023304241787,0.0,0.012277765125480363,0.0,0.0,0.0,119.83931258143383
2011,0.0,0.0,0.0,0.0,0.00270017968238707,0.042790391074701846,0.0,0.006096096813850187,0.0,0.0,0.0,119.7345322001217
2012,239.2,0.0,0.0,0.0,0.0033069025044803945,0.20821124619643008,0.0,0.03921963630623187,0.0,0.0,0.0,154.265776229233
2013,322.4,41.902311261398225,0.0,0.0,0.0017237113412441629,0.49401296100156844,0.0,6.5221979702164585,0.0,0.0,0.0,306.8013304174178
2014,187.2,46.980659438090846,0.0,0.0,0.018811897784565376,1.7945651430148308,0.0,19.274624590470506,0.0,0.0,0.0,487.10425826052796
2015,348.4,37.28969366353013,0.0,0.0,0.009435980845490568,1.890867979197268,0.0,14.17125085835043,0.0,0.0,0.0,594.8229365751905
2016,530.4,44.08786003257905,0.0,0.0,0.025808802700518798,4.507225963725513,0.0,53.73042510215527,0.0,0.0,0.0,906.9590049440416
2017,0.0,0.0,0.0,0.0,0.006088353901669087,3.443695235135343,0.0,0.5238624999717709,0.0,0.0,0.0,1042.4057659610648
2018,0.0,0.0,0.0,0.0,0.002243477143150121,2.718405443230228,0.0,0.6124636647013497,0.0,0.0,0.0,1039.8197713781597
2019,0.0,0.0,0.0,0.0,0.0058660940907070865,4.183371487243978,0.0,0.5394974963555598,0.0,0.0,0.0,1034.1551360923836
