year,actual,calculated,difference,delta,P_drainage,P_runoff,P_erosion,P_uptake
,kg,kg,kg,kg,kg,kg,kg,kg
1989,0.0,608.8898904437557,-608.8898904437557,-327.4723856123819,0.0,495.8449282724113,9.301848793581254,431.215498990145
1990,5246.064281316418,4238.213122130192,1007.8511591862261,3059.8785580402764,0.0,626.5102121691103,58.199894580931364,493.62445733987363
1991,17700.0,13300.073702983811,4399.926297016189,11829.379767137987,0.0,897.8171422584867,41.08714942048999,531.7896441668476
1992,10500.0,8295.142953902234,2204.857046097766,6982.070947683838,0.0,720.2361171862864,50.72229157526738,542.1135974568422
1993,0.0,933.341475893586,-933.341475893586,-349.8362694046664,0.0,701.2827819322102,23.240174857338168,558.654788508704
1994,300.0,1092.0664079190017,-792.0664079190017,-425.96906849576044,0.0,820.1524739961828,90.7346314195723,607.1483709990069
1995,10800.0,8683.45082377301,2116.5491762269903,7088.92538263087,0.0,922.6008925982085,31.143022091838798,640.7815264520917
1996,0.0,977.3836200004039,-977.3836200004039,-425.6758445739688,0.0,720.2750701950032,12.960007382794,669.8243869965754
1997,0.0,857.260106994158,-857.260106994158,-726.8817289234139,0.0,860.4264389338049,37.70217475358903,686.013222230178
1998,300.0,1257.5970445919306,-957.5970445919306,-566.6549448110454,0.0,1030.1100037271492,73.78223476327345,720.3597509125533
1999,10500.0,8541.683487362574,1958.316512637426,6974.588523198472,0.0,798.4204009041276,27.76836456426738,740.9061986957064
2000,10500.0,8637.620127735061,1862.379872264939,6979.116276803863,0.0,836.8230835047788,62.67385138809384,759.006916038325
2001,0.0,1100.7654073202073,-1100.7654073202073,-658.2852251270087,0.0,945.6248413777253,37.84801756937738,775.5777735001134
2002,300.0,1487.5582374542923,-1187.5582374542923,-432.2671697298356,0.0,1031.2071079483435,87.98386514390653,800.634434091878
2003,10500.0,8620.495195884389,1879.5048041156115,6905.447849429896,0.0,864.2700971834744,22.878788733591257,827.898460537427
2004,10500.0,8505.807584448754,1994.192415551246,6440.689380846641,0.0,1127.643373540224,92.56670867955975,844.908121382329
2005,0.0,1374.9341744806607,-1374.9341744806607,-915.5377418086136,0.0,1367.1707405136376,66.1558741872453,857.1453015883915
2006,300.0,1568.1537643772672,-1268.1537643772672,-336.9691367288906,0.0,925.2177798553183,88.58861761722999,891.3165036336095
2007,10500.0,8897.80431874697,1602.1956812530298,6961.425446012858,0.0,980.5186007757023,33.88808617057838,921.9721857878321
2008,0.0,1359.854837143334,-1359.854837143334,-751.2073880856333,0.0,1107.995637772364,44.09583291864427,958.970754537959
2009,0.0,1572.794656146478,-1572.794656146478,-688.0205082962348,0.0,1228.3324678068807,37.28954091816321,995.1931557176689
2010,5233.985579945747,5222.266095715584,11.719484230163289,3144.207907003729,0.0,963.8756734366468,59.08359226091355,1055.0989230142943
2011,15433.68388727678,12282.543740140356,3151.1401471364243,9852.89257504161,0.0,1278.9152487718916,71.57950604104754,1079.1564102858085
2012,22033.40008102109,17336.51323108381,4696.88684993728,14420.9270481407,0.0,1716.8384212858346,105.73798797712314,1093.0097736801495
2013,4933.12511789396,5265.23135127415,-332.10623338019013,2876.3221501479275,0.0,1239.6353795658301,45.71528697183632,1103.5585345885556
2014,5232.858376222726,5535.864942251567,-303.006566028841,3105.333113767032,0.0,1205.1764510283815,98.63463802007314,1126.7207394360812
2015,15432.6047724917,12705.793429267176,2726.8113432245245,9885.345213550929,0.0,1586.3221407048102,71.8818791670126,1162.2441958444247
2016,4932.3621972554865,5534.384986454115,-602.0227891986287,2583.3735917203594,0.0,1700.3760783455066,51.94684422559247,1198.6884721626573
2017,0.0,1872.4165772414005,-1872.4165772414005,-637.8423189464374,0.0,1251.5953963330637,34.4597740060583,1224.203725848716
2018,300.0,1923.3194963264657,-1623.3194963264657,-1114.56424730242,0.0,1598.6121397353022,160.0164435450079,1279.2551603485756
2019,16800.0,14045.32103640786,2754.6789635921396,10588.530661249824,0.0,2049.7709531240785,90.92942687243588,1316.089995161523
2020,10500.0,9583.195044812643,916.8049551873573,6634.445060929895,0.0,1506.1056868832463,115.9407760311334,1326.7035209683665
2021,0.0,2311.9086383628637,-2311.9086383628637,-610.4679054626031,0.0,1529.8742274997262,49.08842668817005,1343.4138896375707
2022,300.0,2294.9667246171157,-1994.9667246171157,-1013.685106370569,0.0,1718.4591146010516,201.4663556831101,1388.7263607035227
2023,12900.0,11479.479259827822,1420.5207401721782,8097.364294500352,0.0,1896.3962603029036,62.385542369940104,1423.3331626546262
2024,0.0,2236.768425678471,-2236.768425678471,-684.8088409597403,0.0,1447.823601424361,27.461048436234435,1446.2926167776159
2025,0.0,2020.5509086368593,-2020.5509086368593,-1305.7060354732093,0.0,1772.3010497707476,95.63146134514366,1458.3244329941774
2026,300.0,2584.1177580574877,-2284.1177580574877,-1192.8278897002747,0.0,2123.4400333256403,157.57636067997075,1495.9292537521512
2027,10500.0,9825.031126779315,674.968873220685,6676.744765110372,0.0,1578.8314488244384,51.577206850323535,1517.8777059941829
2028,12300.0,11261.68602152458,1038.3139784754203,7972.076885801827,0.0,1641.6232717703638,116.19325265826186,1531.792611294126
2029,0.0,2266.8022758069765,-2266.8022758069765,-1172.030062667327,0.0,1779.905265751551,75.55378050405741,1583.3732922186948
2030,300.0,2924.3324917511954,-2624.3324917511954,-969.3814936142589,0.0,2015.540717534792,166.6614831802789,1711.5117846503833
2031,12000.0,11035.858885364498,964.1411146355022,7705.058462454093,0.0,1541.8624223982138,40.30975810745346,1748.6282424047376
2032,10500.0,9791.846608734666,708.153391265334,5769.2714620934275,0.0,2042.2545158313553,215.31150244426414,1765.00912836562
2033,16200.0,14364.214213579942,1835.7857864200578,9812.569781816419,0.0,2576.6570683505556,196.12487165300627,1778.862491759961
2034,300.0,3026.3184611113124,-2726.3184611113124,-734.4435166290496,0.0,1773.9318432317204,170.49056600238654,1816.339568506255
2035,12000.0,11523.658882168756,476.34111783124354,7749.572137818148,0.0,1873.508299147726,54.27384126942353,1846.304603933458
2036,0.0,2677.4613503883866,-2677.4613503883866,-1307.3556273948925,0.0,2030.9157955103726,85.52234953407442,1868.3788327388318
2037,0.0,3102.0962640259218,-3102.0962640259218,-1162.258746476553,0.0,2298.5627126813906,68.80705758926041,1896.9852402318236
2038,300.0,3154.166128370468,-2854.166128370468,-678.8634069795953,0.0,1763.169205085973,106.31280506278983,1963.5475252013
2039,10500.0,10083.067552616674,416.9324473833258,5736.026106665784,0.0,2222.3500362159602,134.1148145868418,1990.5765951480885
2040,16200.0,14694.51153671552,1505.4884632844805,9721.699083721847,0.0,2791.973814534655,176.40867991658922,2004.4299585424294
2041,0.0,3163.2615181455512,-3163.2615181455512,-891.6757400440983,0.0,1963.1161059705778,76.18437704588203,2015.63677517319
2042,300.0,3474.9485853183896,-3174.9485853183896,-633.1419468768872,0.0,1911.0776219691215,157.09937169286943,2039.9135385332859
2043,16800.0,14885.236003651584,1914.7639963484162,10388.499350083235,0.0,2313.753464880195,121.59421722329365,2061.38897146486
2044,12300.0,12101.75779064498,198.24220935501944,7249.090910868574,0.0,2564.964288609846,203.04208320347553,2084.660507963085
2045,0.0,3229.6498094203953,-3229.6498094203953,-875.630442144,0.0,1958.1696902034032,40.27463806181412,2106.835923299178
2046,300.0,3125.4313175998377,-2825.4313175998377,-1696.4525287220895,0.0,2443.5827197775607,236.35113921961775,2141.9499873247487
2047,15900.0,14788.844700863836,1111.155299136164,9435.21925466531,0.0,3051.6465615153047,130.7043623339499,2171.274522349272
2048,10500.0,10897.911954925476,-397.9119549254756,6331.472798948875,0.0,2210.305120803755,173.5901863525253,2182.5438488203226
2049,0.0,3628.298140341033,-3628.298140341033,-843.2136846802896,0.0,2198.332532759405,77.36387859401806,2195.8154136678995
2050,300.0,3527.683781857618,-3227.683781857618,-1546.7341631382587,0.0,2522.847742306547,318.1494574954817,2233.4207451938482
2051,12000.0,12167.932641126064,-167.93264112606448,7080.115680964838,0.0,2734.0650984191766,83.07847025690958,2270.6733914851416
2052,0.0,3492.403230576757,-3492.403230576757,-928.5349848424667,0.0,2087.2261279931918,40.86328060479703,2292.8488068212346
2053,0.0,3202.6225727418223,-3202.6225727418223,-1798.83797365363,0.0,2556.0285208652363,141.8698490914689,2303.562176438747
2054,300.0,3916.7167356019454,-3616.7167356019454,-1719.5421916302876,0.0,3063.041192162184,228.8478747549422,2344.369860315107
2055,10500.0,11157.702970409597,-657.7029704095967,6421.585864545312,0.0,2298.5692089046497,69.12430323436594,2368.4235937252693
2056,11400.0,11942.984149806734,-542.9841498067344,7092.564241841261,0.0,2303.7555065330594,164.32590240719856,2382.3384990252143
2057,0.0,3410.7776676805406,-3410.7776676805406,-1599.463742680964,0.0,2496.6733100632737,114.26354997275917,2399.3045503254716
2058,300.0,4142.317356830503,-3842.317356830503,-1364.9449231507606,0.0,2827.3910654172464,228.54817002227784,2451.323044541739
2059,11100.0,11502.396316761991,-402.39631676199133,6833.955732317292,0.0,2131.462183227461,54.30329774494199,2482.6751034722975
2060,10500.0,10838.49876545661,-338.4987654566103,5241.176962586818,0.0,2795.336972011988,291.21571069083814,2510.769120166967
2061,0.0,4131.912743586881,-4131.912743586881,-1945.9066134637687,0.0,3391.630838560992,148.28888090781197,2537.899637581846
2062,300.0,4113.4803549144735,-3813.4803549144735,-970.6203793404275,0.0,2296.1462058302445,215.0341438538518,2572.920384570805
2063,11100.0,12009.80787547916,-909.8078754791604,6950.409302072832,0.0,2399.2609416039822,61.01642346410255,2599.121208338243
2064,0.0,3633.955363317811,-3633.955363317811,-1645.0140311712166,0.0,2547.944808152875,115.83366321172639,2615.1909231244267
2065,0.0,4223.588639001339,-4223.588639001339,-1461.7546038427972,0.0,2943.3491503511195,104.35095764680656,2637.6431348462106
2066,300.0,4145.948585069312,-3845.948585069312,-893.3836927472148,0.0,2206.6329614898523,138.29567444603737,2694.4036418806368
2067,10500.0,11069.458948518593,-569.4589485185934,5360.376520849415,0.0,2825.492525307787,147.3745772131299,2736.215325148262
2068,0.0,4391.9605604515755,-4391.9605604515755,-1939.8516636665445,0.0,3428.3608452186304,138.10441021149222,2765.346968687997
2069,0.0,4151.847368273013,-4151.847368273013,-965.260870094935,0.0,2268.448350117185,68.93323395693378,2779.7266542938287
