year,j_day,TS,VS,N,P,K,TS_liquid,VS_liquid,N_liquid,P_liquid,K_liquid,WIP,WOP,CH4,WOP_frac,WIP_frac
,,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,%,%
2012,22,11772489.130019749,22931827.78451764,17877391.116130415,1465256.1018391007,2527479.9236695548,34336426.629224196,18762404.55096895,41713912.60430428,2197884.1527586505,14322386.234127473,1874233.6909540521,187423.36909540542,177748261.53403342,0.0054005779614378505,0.05400577961437845
2012,23,11787663.996459134,22961387.159769356,17899582.612010762,1466751.451328357,2530262.7644121894,34380686.65633907,18786589.494356718,41765692.761358425,2200127.1769925347,14338155.665002404,1877619.3544186065,187761.93544186084,178000296.42509416,0.005403368702002846,0.054033687020028406
2012,24,11802838.951829778,22990946.708251756,17921263.74905038,1468256.85434875,2532977.4120365446,34424946.942836784,18810774.57947868,41816282.081117526,2202385.2815231243,14353538.668207083,1880989.8803373931,188098.9880337395,178252523.39734778,0.0054061087192803815,0.05406108719280377
2012,25,11818013.910188517,23020506.262554716,17942950.146623127,1469777.9163197954,2535740.003319493,34469207.238049775,18834959.66936292,41866883.67545394,2204666.874479692,14369193.35214379,1884358.4532651368,188435.84532651387,178504754.3558625,0.005408836092697797,0.05408836092697791
2012,26,11833188.871766973,23050065.823129416,17964641.773131955,1471298.9848179743,2538504.162786142,34513467.542653605,18859144.764378585,41917497.4706412,2206948.47722696,14384856.9224548,1887727.050057549,188772.7050057551,178756989.46267554,0.00541155653785292,0.05411556537852914
2012,27,11848363.562184192,23079624.855504625,17986327.489813935,1472820.059882765,2541317.8084236854,34557727.0563705,18883329.42723103,41968097.47623249,2209230.089824146,14400800.91440088,1891097.587591826,189109.7587591828,179008893.9646137,0.005414275694829613,0.054142756948296074
2012,28,11863538.211395934,23109183.807614997,18008018.40631952,1474341.1424479662,2544135.0596415033,34601986.44990475,18907514.024412245,42018709.61474553,2211511.713671948,14416765.337968513,1894468.673495947,189446.8673495949,179260777.17147762,0.005416989482449003,0.05416989482448998
2012,29,11878712.863927934,23138742.766192954,18029714.531579364,1475862.2330047651,2546939.826929775,34646245.85312308,18931698.62688512,42069333.90701849,2213793.349507146,14432659.019268721,1897839.7714452727,189783.97714452748,179512664.93880525,0.005419696369409587,0.05419696369409581
2012,30,11893887.519408643,23168301.730514754,18051415.87429861,1477383.332032107,2549751.040943934,34690505.26494182,18955883.2340575,42119970.3733634,2216074.998048159,14448589.232015623,1901210.8812734752,190121.08812734773,179764556.8973294,0.005422396381816436,0.0542239638181643
2012,31,11908096.04589269,23195978.756061804,18071655.843987633,1478759.9475513457,2552247.2420023615,34731946.800520286,18978528.073141452,42167196.96930446,2218139.921327017,14462734.371346712,1904382.5240430795,190438.25240430818,180001894.5022488,0.005425106119453397,0.054251061194533906
2012,32,11923270.872412385,23225538.053553294,18093367.569203004,1480279.924749999,2555013.0941614425,34776206.71120273,19002712.95290722,42217857.661473654,2220419.887124997,14478407.533581505,1907747.4458331424,190774.74458331446,180253817.6247087,0.00542763042085282,0.05427630420852814
2012,33,11938445.701403612,23255097.35585912,18115084.52134314,1481799.908366327,2557776.074774479,34820466.62909381,19026897.836611986,42268530.54980064,2222699.862549489,14494064.423722045,1911112.384167871,191111.23841678732,180505744.59134626,0.005430292656406714,0.05430292656406708
2012,34,11953620.532667194,23284656.6625913,18136806.708149992,1483319.8988216596,2560543.90544826,34864726.55361259,19051082.723938316,42319215.65234996,2224979.8482324877,14509748.797540136,1914477.3387023534,191447.73387023556,180757675.2090311,0.0054329481776139695,0.05432948177613963
2012,35,11968795.366010059,23314215.973373756,18158534.13869895,1484839.896609896,2563310.2368967147,34908986.48419595,19075267.614578508,42369912.990297526,2227259.8449148424,14525424.675748048,1917842.3091357716,191784.2309135774,181009609.2915039,0.005435597009246852,0.054355970092468446
2012,36,11983970.20163623,23343775.288603902,18180266.82184367,1486359.9022128677,2566070.9664553176,34953246.42143895,19099452.50885772,42420622.58430187,2229539.8533193,14541068.809913464,1921207.296784864,192120.72967848662,181261547.00570646,0.005438239180350841,0.054382391803508345
2012,37,11999145.002990684,23373334.537075598,18202004.766221315,1487879.9161006247,2568838.136417815,34997506.25872277,19123637.34851638,42471344.45451637,2231819.874150935,14556749.439700948,1924572.8014069546,192457.2801406957,181513463.17737287,0.005440876145612015,0.054408761456120086
2012,38,12014320.402530769,23402894.950763054,18224268.89377596,1489394.934594211,2571596.956265346,35041767.840714686,19147823.14153339,42523294.08547721,2234092.4018913144,14572382.75217029,1927938.645777847,192793.86457778493,181766357.36125368,0.005443507137831913,0.05443507137831906
2012,39,12029495.804443985,23432455.369073175,18246538.338231236,1490937.3634812194,2574386.1253114566,35086029.42962823,19172008.938332576,42575256.12253952,2236406.045221827,14588188.043431584,1931298.3242790976,193129.83242791,182019255.3543571,0.00544611410361815,0.05446114103618143
2012,40,12044671.208735222,23462015.792015478,18268813.108754065,1492479.79993653,2577192.6838821988,35130291.02547767,19196194.73892173,42627230.587092794,2238719.699904793,14604091.875332456,1934658.0255811503,193465.80255811528,182272157.14551255,0.0054487145633729485,0.05448714563372941
2012,41,12059846.615409391,23491576.219599534,18291093.21429079,1494022.2444470185,2579997.1633897084,35174552.628277324,19220380.543308686,42679217.50001182,2241033.3666705256,14619983.92587501,1938017.749931906,193801.77499319083,182525062.72371757,0.005451308542350276,0.054513085423502694
