year,TS,VS,N,P,K,TS_liquid,VS_liquid,N_liquid,P_liquid,K_liquid,TS_DM_effluent,manure_applied,N_applied,P_applied
,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
1992,25345374986.06796,83363938166.22684,10829237447054.506,7137564414924.622,3190848138.3490934,6185594257.124133,5707802236.138023,2128419109129.513,899898308419.8239,1540927377.4783158,530193793.46778244,60.10576387563891,21843.915031840414,10800.0
1993,27551911134.66783,90622286285.53186,11778679955605.39,7761925365268.487,3474092700.192364,6435730433.416396,5938648461.249477,2215365853285.396,936541425515.7981,1605052517.111844,551634037.1499767,0.0,0.0,0.0
1994,29850810148.332047,98184482153.58118,12768056677208.076,8412482397098.053,3769379939.9915094,6705122123.187234,6187251164.767597,2308545683739.585,975835547744.3391,1673294358.8618412,574724753.4160482,3.3361793718355033,1214.07861999352,600.0
1995,32242257675.492172,106051146018.2954,13797448502783.697,9089303228998.807,4076709857.7465405,6975055287.550451,6436361343.857062,2401914259676.4424,1015231247851.1282,1741536200.6118424,597861881.7900385,65.04027215590925,23677.242904481776,11700.0
1996,34733106649.56043,114244820035.82645,14869782239011.521,9794294922917.125,4396973988.88625,7264976174.36586,6703915105.252663,2502112051198.2803,1057487540877.4686,1814830076.458316,622712243.517074,0.0,0.0,0.0
1997,37309988935.56332,122721524545.23825,15979423850758.426,10523769551664.36,4728422256.191288,7515906667.508305,6935485507.700683,2589163760742.7803,1094211943120.844,1878206848.0618544,644220571.5007125,1.6665332895848441,607.3217649407646,300.0
1998,39979914053.84065,131504325587.12094,17129238738580.191,11279632912466.127,5071913201.452199,7787281594.975721,7185928125.176655,2682901404917.4624,1133795041202.6729,1946448689.8118634,667481279.5693485,1.6661524469604312,607.3907210662667,300.0
1999,42742597609.859924,140592285145.1719,18319150843126.348,12061815774242.088,5427446824.669006,8057827038.389423,7435603274.769023,2776461577274.374,1173274292663.958,2014690531.5618734,690670889.0048076,59.970934559363464,21867.987381830517,10800.0
2000,45606091715.5498,150011889757.1656,19552538933116.676,12872536945020.438,5796046726.216946,8351857808.261993,7706949227.994747,2877905543310.732,1216081756167.551,2088732775.438354,715873526.4224557,58.292036034227415,21262.933561487873,10500.0
2001,48553593456.68854,159707881700.40677,20822435141066.195,13707207829072.58,6175698698.983752,8596880078.321308,7933084317.197542,2963091151882.1772,1252006326078.1873,2151361179.0118923,736875435.2846837,1.6650110139950396,607.6018983914278,300.0
2002,51592720392.64148,169705293900.5119,22132126328037.88,14567960626856.264,6567393349.706441,8864120229.863121,8179700890.994987,3055946102933.969,1291129196675.5015,2219603020.761903,759781733.988268,13.317478035880509,4861.290335669699,2400.0
