year,j_day,flush_water_volume,TS,VS,N,P,K,TS_liquid,VS_liquid,N_liquid,P_liquid,K_liquid,TS_DM_effluent,WIP,WOP,CH4
,,liters,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
2010,187,3155937.949212172,15148.502156218427,29508.019825133808,25161.10700832703,1983.1755535398406,3559.6332567877325,44183.13128897041,24142.92531147311,58709.24968609642,2974.763330309761,20171.25512179715,3787.1255390546066,2132.0294333258657,213.20294333258633,231891.6606251284
2010,188,3155892.6856801705,15148.284891264815,29507.5966111096,25162.519210234044,1993.1756857015666,3599.337544941849,44182.497599522394,24142.579045453305,58712.54482387944,2989.7635285523497,20396.24608800381,3787.071222816204,2100.92070354405,210.09207035440485,231761.74195801845
2010,189,3155880.1872109068,15148.224898612354,29507.479750421986,25170.53252601037,1993.1985182367775,3609.423054427276,44182.322620952706,24142.483432163437,58731.24256069085,2989.797777355166,20453.39730842123,3787.0562246530885,2103.1290786046793,210.31290786046782,231687.8155126773
2010,190,3155862.853228554,15148.141695497063,29507.317677686984,25178.47040031312,1993.2214953611929,3612.638250628166,44182.07994519976,24142.350827198436,58749.76426739729,2989.8322430417893,20471.616753559614,3787.0354238742657,2106.2597417194884,210.62597417194877,231586.78805838502
2010,191,3155863.41139495,15148.144374695763,29507.322896542788,25186.094839399535,1993.2274201679925,3611.1969181211352,44182.0877595293,24142.355097171367,58767.55462526559,2989.8411302519885,20463.449202686446,3787.036093673941,2107.1388382154346,210.7138838215434,231569.29629909908
2010,192,3155819.910701192,15147.935571365722,29506.91616505615,25196.134464952032,1993.2502088001156,3650.673630720419,44181.47874981669,24142.022316864117,58790.98041822143,2989.875313200173,20687.15057408237,3786.9838928414306,2110.2703226653257,211.02703226653242,231485.62696051615
2010,193,3155808.802192637,15147.882250524655,29506.812300501162,25203.994390131484,1993.2737478116896,3645.2556367269535,44181.32323069693,24141.937336773673,58809.32024364015,2989.910621717535,20656.448608119397,3786.9705626311643,2112.044039057248,211.20440390572475,231441.27616342343
2010,194,3155992.328915447,15148.763178794145,29508.528275359433,24036.51208089444,1953.8683621327982,3442.8603303656637,44183.89260481627,24143.34131620317,56085.19485542036,2930.8025431991964,19509.541872072088,3787.190794698536,2089.3381333863445,208.93381333863437,231996.38571679537
2010,195,3155979.679496477,15148.702461583085,29508.41000329206,24044.833505253177,1997.7601493686475,3454.7216230120684,44183.71551295069,24143.244548148046,56104.61151225741,2996.640224052971,19576.75586373505,3787.1756153957717,2105.2106428544703,210.5210642854471,231897.53993391653
2010,196,3156022.370926928,15148.907380449255,29508.809168166776,24279.89464736778,2017.568028289581,3615.8392752426007,44184.313192976995,24143.571137590992,56653.08751052483,3026.3520424343706,20489.7558930414,3787.2268451123136,2119.5146376685902,211.9514637668591,232777.36371606105
2010,197,3155899.6554850424,15148.318346328208,29507.66177878515,24275.36605141357,2017.5774101049483,3730.871737172387,44182.59517679059,24142.632364460573,56642.52078663168,3026.3661151574224,21141.60651064353,3787.079586582052,2127.9548247269086,212.79548247269105,232480.4022853817
2010,198,3155884.3267277367,15148.244768293138,29507.518454904337,24283.258716474425,2017.6059013400863,3740.0713965763425,44182.38057418831,24142.515099467182,56660.93700510699,3026.4088520101295,21193.737913932608,3787.0611920732845,2131.2786496186445,213.1278649618646,232411.69948726357
2010,199,3155879.8267097347,15148.223168206727,29507.476379736025,24291.157793755447,2017.6347621615796,3739.5174339986224,44182.317573936285,24142.480674329472,56679.368185429375,3026.452143242369,21190.598792658868,3787.055792051682,2132.4427593738533,213.24427593738548,232397.87937055927
2010,200,3155798.2822595052,15147.83175484563,29506.71393912638,24297.50718416313,2017.6627784357715,3818.133645615577,44181.17595163308,24141.856859285213,56694.18342971396,3026.4941676536564,21636.090658488276,3786.957938711408,2136.128564692192,213.61285646921922,232287.61802146782
2010,201,3155694.7992287925,15147.335036298202,29505.74637278921,20854.6788304027,1921.3162656965915,3072.9740399244583,44179.7271892031,24141.065214100257,48660.91727093962,2881.9743985448868,17413.519559571923,3786.8337590745505,2161.9643553835663,216.19643553835664,230740.95946655763
2010,202,3155677.112674412,15147.250140837179,29505.58100350575,20862.64722109557,1959.0866278159306,3082.740101346215,44179.47957744177,24140.929911959247,48679.51018255635,2938.6299417238956,17468.860574295213,3786.8125352092948,2140.3409691291904,214.03409691291907,230656.89942871488
2010,203,3155666.2777353637,15147.198133129748,29505.479696825656,20870.56373733128,1959.0972137335202,3087.687098780876,44179.3278882951,24140.84702467553,48697.98205377298,2938.64582060028,17496.893559758297,3786.7995332824376,2144.2382994417894,214.42382994417895,230590.45187259372
2010,204,3155733.4014002597,15147.52032672125,29506.10730309243,21088.990767984404,1978.5628441989784,3185.7043152728875,44180.267619603634,24141.360520711984,49207.64512529693,2967.844266298467,18052.324453213034,3786.8800816803123,2158.8526549584735,215.8852654958474,231395.75673575123
2010,205,3155707.043879928,15147.393810623651,29505.860860277327,21204.30236211259,1988.192932688672,3263.3771866487696,44179.898614319,24141.158885681445,49476.705511596054,2982.2893990330076,18492.470724343035,3786.848452655913,2174.3025483884862,217.4302548388487,231583.20895324563
2010,206,3155701.403202745,15147.366735373176,29505.808119945672,21212.168014566123,1988.2055420050392,3268.1465033893837,44179.81964483844,24141.115734501,49495.05870065431,2982.3083130075584,18519.496852539836,3786.841683843294,2177.2350030715293,217.72350030715296,231546.3833286233
2010,207,3155687.84925257,15147.301676412335,29505.681390511534,21220.047018344616,1988.2188831586573,3263.3911841523986,44179.629889535994,24141.01204678216,49513.443042804094,2982.328324737985,18492.550043530253,3786.8254191030837,2181.74874086157,218.17487408615693,231482.67999384133
2010,208,3155601.2971096113,15146.886226126133,29504.872127974868,20481.685197902712,1902.622104756564,3014.415491455511,44178.41815953456,24140.349922888523,47790.598795106314,2853.9331571348457,17081.687784914575,3786.721556531533,2172.227005179542,217.22270051795425,227844.04617921193
2010,209,3155606.1368021606,15146.909456650372,29504.917379100207,20489.646378381985,1919.3096480833274,3096.213476064735,44178.48591523025,24140.38694653653,47809.174882891304,2878.9644721249906,17545.209697700175,3786.727364162593,2133.9861854128308,213.3986185412832,227861.79669821064
