year,j_day,DM,NDF,C,N,P,CP,NPN,C_loss,CP_loss
2011,350,140890960.0467909,0.0,140890960.0467909,140890960.0467909,140890960.0467909,140890960.0467909,10109.622430927982,3807483.6142499535,621.8712470988628
2011,351,141357366.82922146,0.0,141357366.82922146,141357366.82922146,141357366.82922146,141357366.82922146,10168.042072793003,3832528.85671939,625.3808452712336
2011,352,141823773.61165202,0.0,141823773.61165202,141823773.61165202,141823773.61165202,141823773.61165202,10226.461714658024,3857574.0991888265,628.8904434436045
2011,353,142290180.39408258,0.0,142290180.39408258,142290180.39408258,142290180.39408258,142290180.39408258,10284.881356523045,3882619.341658263,632.4000416159753
2011,354,142756587.17651314,0.0,142756587.17651314,142756587.17651314,142756587.17651314,142756587.17651314,10343.300998388066,3907664.5841276995,635.9096397883461
2011,355,143222993.9589437,0.0,143222993.9589437,143222993.9589437,143222993.9589437,143222993.9589437,10401.720640253086,3932709.826597136,639.4192379607169
2011,356,143689400.74137425,0.0,143689400.74137425,143689400.74137425,143689400.74137425,143689400.74137425,10460.140282118107,3957755.0690665725,642.9288361330878
2011,357,144155807.5238048,0.0,144155807.5238048,144155807.5238048,144155807.5238048,144155807.5238048,10518.559923983128,3982800.311536009,646.4384343054586
2011,358,144622214.30623537,0.0,144622214.30623537,144622214.30623537,144622214.30623537,144622214.30623537,10576.979565848149,4007845.5540054454,649.9480324778294
2011,359,145088621.08866593,0.0,145088621.08866593,145088621.08866593,145088621.08866593,145088621.08866593,10635.39920771317,4032890.796474882,653.4576306502003
2011,360,145555027.8710965,0.0,145555027.8710965,145555027.8710965,145555027.8710965,145555027.8710965,10693.81884957819,4057936.0389443184,656.9672288225711
2011,361,146021434.65352705,0.0,146021434.65352705,146021434.65352705,146021434.65352705,146021434.65352705,10752.238491443211,4082981.281413755,660.4768269949419
2011,362,146487841.4359576,0.0,146487841.4359576,146487841.4359576,146487841.4359576,146487841.4359576,10810.658133308232,4108026.5238831914,663.9864251673127
2011,363,146954248.21838817,0.0,146954248.21838817,146954248.21838817,146954248.21838817,146954248.21838817,10869.077775173253,4133071.766352628,667.4960233396836
2011,364,147420655.00081873,0.0,147420655.00081873,147420655.00081873,147420655.00081873,147420655.00081873,10927.497417038274,4158117.0088220644,671.0056215120544
2011,365,147887061.7832493,0.0,147887061.7832493,147887061.7832493,147887061.7832493,147887061.7832493,10985.917058903295,4183162.251291501,674.5152196844252
2012,1,466406.7824308909,0.0,466406.7824308909,466406.7824308909,466406.7824308909,466406.7824308909,58.419641864982424,25045.242469443525,3.5095981723684004
2012,2,932813.5648617805,0.0,932813.5648617805,932813.5648617805,932813.5648617805,932813.5648617805,116.83928372996488,50090.484938887035,7.019196344736794
2012,3,1399220.3472926712,0.0,1399220.3472926712,1399220.3472926712,1399220.3472926712,1399220.3472926712,175.25892559494733,75135.7274083306,10.528794517105194
2012,4,1865627.1297235624,0.0,1865627.1297235624,1865627.1297235624,1865627.1297235624,1865627.1297235624,233.67856745992978,100180.96987777429,14.038392689473598
2012,5,2332033.912154455,0.0,2332033.912154455,2332033.912154455,2332033.912154455,2332033.912154455,292.0982093249122,125226.21234721798,17.54799086184199
2012,6,2798440.69458535,0.0,2798440.69458535,2798440.69458535,2798440.69458535,2798440.69458535,350.51785118989466,150271.4548166615,21.057589034210366
2012,7,3264847.4770162445,0.0,3264847.4770162445,3264847.4770162445,3264847.4770162445,3264847.4770162445,408.9374930548771,175316.697286105,24.567187206578744
2012,8,3731254.259447139,0.0,3731254.259447139,3731254.259447139,3731254.259447139,3731254.259447139,467.35713491985956,200361.93975554846,28.076785378947122
2012,9,4197661.041878033,0.0,4197661.041878033,4197661.041878033,4197661.041878033,4197661.041878033,525.7767767848417,225407.18222499194,31.5863835513155
2012,10,4664067.824308942,0.0,4664067.824308942,4664067.824308942,4664067.824308942,4664067.824308942,584.1964186498233,250452.4246944354,35.09598172368388
2012,11,5130474.606739851,0.0,5130474.606739851,5130474.606739851,5130474.606739851,5130474.606739851,642.6160605148049,275497.6671638784,38.605579896052255
2012,12,5596881.389170759,0.0,5596881.389170759,5596881.389170759,5596881.389170759,5596881.389170759,701.0357023797865,300542.909633321,42.11517806842063
2012,13,6063288.171601668,0.0,6063288.171601668,6063288.171601668,6063288.171601668,6063288.171601668,759.4553442447681,325588.1521027636,45.62477624078901
2012,14,6529694.954032577,0.0,6529694.954032577,6529694.954032577,6529694.954032577,6529694.954032577,817.8749861097497,350633.3945722062,49.13437441315739
2012,15,6996101.736463485,0.0,6996101.736463485,6996101.736463485,6996101.736463485,6996101.736463485,876.2946279747313,375678.6370416488,52.643972585525766
2012,16,7462508.518894394,0.0,7462508.518894394,7462508.518894394,7462508.518894394,7462508.518894394,934.7142698397129,400723.8795110914,56.153570757894144
2012,17,7928915.301325303,0.0,7928915.301325303,7928915.301325303,7928915.301325303,7928915.301325303,993.1339117046945,425769.121980534,59.66316893026252
2012,18,8395322.083756208,0.0,8395322.083756208,8395322.083756208,8395322.083756208,8395322.083756208,1051.5535535696738,450814.3644499766,63.1727671026309
