year,runoff,drainage,erosion,ET,manure_applied,manure_N_applied,manure_P_applied,N_runoff,P_runoff,N_drainage,P_drainage,N_erosion,P_erosion,yield,N_yield,P_yield
,mm H2O,mm H2O,ton / ha,mm H2O,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
1990,103.49264562671571,437.78209097355847,0.4690913650494752,407.593679492798,400.0,20.0,24.0,0.010821714466753408,0.07919210363587464,0.15223013932888738,0.0604145075015464,0.0008153885432690165,0.06937898523546117,9461.61969942575,394.54954133767615,18.93864137698098
1991,156.66305567762254,505.5572990418115,0.15362003907701072,374.28245473972936,0.0,0.0,0.0,0.44452165613999106,0.014696172442784953,0.5540174317806125,0.06959485808899112,0.005047100532286971,0.038223733463167396,13517.397711098474,563.6754842207675,27.067429890218712
1992,171.79999939920475,453.42261137286783,0.20066656664893115,328.4808784774896,800.0,40.0,48.0,0.7371168089628454,0.22126649396461537,1.5166779141948346,24.06171568111359,0.010429680297707382,0.04788299123224633,9685.93959855019,403.90367754739145,19.4240487109419
1993,175.10630205893108,632.2411232866347,0.16863057003967527,375.9350388737369,0.0,0.0,0.0,5.304213356795597,0.37405181930032544,11.233409608239105,0.0868141184561613,0.03193421221377033,0.044484180602615046,4747.544623812416,223.13451867123575,6.6690197418993815
1994,90.84925606914534,511.78233979749996,0.039615072750300226,368.9475323569547,400.0,20.0,24.0,17.11763731003451,0.21730968494246758,96.79175025450934,0.07017622053363978,0.03396753226113793,0.012129352085426249,9955.043792536526,415.12532602466405,19.925261074705688
1995,82.16030605101754,518.357489377766,0.05934545207966795,383.2546475529349,0.0,0.0,0.0,4.427738772903556,0.14604713638615321,325.2673576761678,0.07091415064697935,0.024307317277951122,0.01732789005897288,15060.620832455344,628.0278881475203,30.16887483347695
1996,136.45773961314381,354.9603959005789,0.0973530794611454,339.4730426417169,400.0,20.0,24.0,1.7658362201417162,0.07643007556580018,89.29959295504146,0.04846710198745934,0.025413762455922938,0.027566164957727526,11005.369394268406,458.92389944554265,22.137494803330213
1997,148.44946579980518,459.28299737777473,0.12506609789991752,356.22263102743557,400.0,20.0,24.0,4.771974985572666,0.1923953798076757,6.781555719768915,6.06264401511931,0.04812227411974061,0.03515908145739346,5556.249171593938,261.14362560216705,7.803663219093691
1998,141.11902179696716,536.7195266747318,0.10505907166824786,346.7534291842569,0.0,0.0,0.0,26.62267317149886,0.21913093352644208,61.955826639576586,0.0731332280494752,0.10417735617482211,0.03250376696265098,11746.101568292437,489.8124351395259,23.519111851460686
1999,128.83958290277627,515.927086512506,0.10107738195385474,367.7242909036272,0.0,0.0,0.0,10.315441937144776,0.10422657576011114,367.94024520085304,0.07014568936348184,0.05273411624310867,0.028518100476906786,12403.311750792447,517.2180992414272,24.861877599331837
2000,176.15951460977948,578.3204791285957,0.148614798203978,371.4300311806689,400.0,20.0,24.0,1.4864692484897155,0.03323226509292217,207.71787156732196,0.07843739825361483,0.048523483717714345,0.04475190833663374,13274.65599575284,553.5531546272445,26.585998754595703
