year,j_day,actual,calculated,difference,delta,N_drainage,N_runoff,N_erosion,N_uptake
,,kg,kg,kg,kg N,kg,kg,kg,kg
2010,101,0.0,0.5774976478434387,-0.5774976478434387,-2.793454121308244,3.3678906628612264,0.0,0.0,0.003061106290456264
2010,102,0.0,0.6135179012207553,-0.6135179012207553,0.6106223796257098,0,0.0,0.0,0.002895521595045531
2010,103,0.0,0.7474279577260539,-0.7474279577260539,0.5286507113172974,0,0.0,0.0,0.21877724640875648
2010,104,0.0,0.8483386260789283,-0.8483386260789283,0.5643496289053473,0,0.0,0.0,0.283988997173581
2010,105,0.0,1.1187753759922483,-1.1187753759922483,0.6634315239097788,0,0.0,0.0,0.45534385208246964
2010,106,0.0,1.4089218882389232,-1.4089218882389232,0.7931218262838229,0,0.0,0.0,0.6158000619551004
2010,107,0.0,1.2581440618460051,-1.2581440618460051,0.17550220088934054,0,0.0,0.0,1.0826418609566646
2010,108,0.0,1.0253244516743798,-1.0253244516743798,-0.33479976452780136,0,0.0,0.0,1.3601242162021812
2010,109,0.0,0.9139432516941737,-0.9139432516941737,0.10333449766743286,0,0.0,0.0,0.8106087540267408
2010,110,0.0,0.8262645033835908,-0.8262645033835908,0.7174523653064568,0,0.0,0.0,0.10881213807713395
2010,111,0.0,0.8209929162508252,-0.8209929162508252,0.37621532248803646,0,0.0,0.0,0.44477759376278875
2010,112,0.0,0.784687892124552,-0.784687892124552,0.19618856926813066,0,0.0,0.0,0.5884993228564214
2010,113,0.0,0.7617975176726386,-0.7617975176726386,-0.6008568206178921,0,0.0,0.0,1.3626543382905307
2010,114,0.0,0.9723446075883329,-0.9723446075883329,-0.20673032065879227,0,0.0,0.0,1.1790749282471251
2010,115,0.0,0.9918461920402144,-0.9918461920402144,-0.4615210716634124,0,0.05952622418266879,0.09478701882079163,1.2990540207001664
2010,116,0.0,0.9492559229204636,-0.9492559229204636,-1.3582308905151592,0,0.0,0.0,2.307486813435623
2010,117,0.0,0.9798420774618384,-0.9798420774618384,-0.8538941051990889,0,0.0,0.0,1.8337361826609273
2010,118,0.0,0.8639769014516403,-0.8639769014516403,-1.3924330568785308,1.8885303801577762,0.0,0.0,0.3678795781723949
2010,119,0.0,0.797920861300601,-0.797920861300601,-1.4567430076813395,0,0.0,0.0,2.2546638689819405
2010,120,100000.0,4.021839862395667,99995.9781601376,3.575320667734829,0,0.0,0.0,0.4465191946608383
2010,121,0.0,8.343536203384499,-8.343536203384499,2.0776997103475736,0,1.3397922339312451,4.260880385816992,0.6651638732886873
2010,122,0.0,6.654248768758504,-6.654248768758504,3.4825764251619233,0,0.0,0.0,3.1716723435965806
2010,123,0.0,7.051365700888145,-7.051365700888145,2.7399573238145223,0,0.0,0.0,4.311408377073623
2010,124,0.0,6.872045438743484,-6.872045438743484,-1.8610123443038304,4.110900750329205,0.0,0.0,4.62215703271811
2010,125,0.0,8.016960590285208,-8.016960590285208,2.819496014968962,0,0.0,0.0,5.197464575316246
2010,126,0.0,7.36131095397268,-7.36131095397268,2.423385440601365,0,0.0,0.0,4.937925513371315
2010,127,0.0,6.744726869332165,-6.744726869332165,1.7506128206968157,0,0.0,0.0,4.99411404863535
2010,128,0.0,5.264581253143965,-5.264581253143965,-0.1342655144054703,0,0.44315863730997873,0.2925246624370227,4.663163467802434
2010,129,0.0,4.74128314329491,-4.74128314329491,0.4119016082574092,0,0.0,0.0,4.329381535037501
2010,130,0.0,4.268163149221109,-4.268163149221109,3.3132633047925566,0,0.0,0.0,0.9548998444285521
2010,131,0.0,3.8959689734559673,-3.8959689734559673,1.8455376693839725,1.274183510604594,0.27232933718336433,0.17461907215797084,0.32929938412606524
2010,132,0.0,4.040437305090133,-4.040437305090133,3.7489522864395184,0,0.0,0.0,0.2914850186506155
2010,133,0.0,5.417854222727726,-5.417854222727726,-5.372565258555738,0,5.6776426782840455,3.2619039108503984,1.850872892149021
2010,134,0.0,4.241854106714561,-4.241854106714561,0.11139631410560469,1.6908157038740104,0.0,0.0,2.439642088734946
2010,135,0.0,4.28133252536648,-4.28133252536648,2.5573795608098067,0.5728557519624863,0.0,0.0,1.1510972125941876
2010,136,0.0,4.700314927036726,-4.700314927036726,-6.714109948397208,7.283982653775645,0.0,0.0,4.1304422216582894
2010,137,0.0,4.6599117337957106,-4.6599117337957106,0.14347005921057132,0,0.0,0.0,4.516441674585139
2010,138,0.0,4.665524383988039,-4.665524383988039,-0.7147536364434899,0,0.0,0.0,5.380278020431529
2010,139,0.0,4.887087174345271,-4.887087174345271,-0.03179945553584673,0,0.0,0.0,4.918886629881118
2010,140,0.0,5.323642095561634,-5.323642095561634,3.742975696636762,0,0.0,0.0,1.5806663989248717
2010,141,0.0,6.99736794543586,-6.99736794543586,5.020277757715547,0,0.0,0.0,1.9770901877203124
