year,actual,calculated,difference,delta,N_drainage,N_runoff,N_erosion,N_uptake
,kg,kg,kg,kg,kg,kg,kg,kg
2008,0.0,8314.654298061849,-8314.654298061849,-1050.6142920103684,0.0,103.12381312803342,3.095322891963917,9259.04945405222
2009,0.0,8439.758154085503,-8439.758154085503,-935.1411828220162,0.0,82.60557581075295,1.9475333286003471,9290.346227768165
2010,0.0,8950.575049477358,-8950.575049477358,-414.7674101828343,0.0,73.51892811347614,1.4773037785518643,9290.346227768165
2011,0.0,8231.991516100466,-8231.991516100466,-1178.4112233075693,0.0,84.65143846082043,2.6300681465705953,9323.121232800644
2012,0.0,8693.674485545464,-8693.674485545464,-703.2968421685482,0.0,71.2608325716097,2.5892623417582064,9323.121232800644
2013,0.0,9141.272526097127,-9141.272526097127,-248.37366720804312,0.0,38.00724294699513,1.6869445340473719,9349.952005824129
2014,0.0,9077.310682068193,-9077.310682068193,-305.9901544150489,0.0,32.08420269366032,1.2646279654535624,9349.952005824129
2015,0.0,8910.230260759621,-8910.230260759621,-518.138670810325,0.0,50.59035744274042,2.6342799787624074,9375.144294148444
2016,0.0,8970.753185905278,-8970.753185905278,-460.3656303387829,0.0,40.29584347571144,1.6401941143662642,9389.182778653983
2017,0.0,9229.684802175107,-9229.684802175107,-196.1424569816354,0.0,35.364259398987365,1.2802211037707167,9389.182778653983
2018,0.0,8874.890996093722,-8874.890996093722,-571.6301011834694,0.0,40.33133317859515,2.5163611844363043,9403.673402914159
2019,0.0,9100.689894121117,-9100.689894121117,-339.10074803492626,0.0,33.670913312555065,2.4463259293281165,9403.673402914159
2020,0.0,9306.527171882006,-9306.527171882006,-127.49600552661877,0.0,18.24851802132616,1.5902157606741842,9414.184443626624
2021,0.0,9286.591102226317,-9286.591102226317,-144.04874190335113,0.0,15.231428078470087,1.2239724245752004,9414.184443626624
2022,0.0,9197.275725860944,-9197.275725860944,-253.65141424395188,0.0,24.01237681076341,2.5086380925390235,9424.406125201593
2023,0.0,9217.121943359462,-9217.121943359462,-234.10766382276847,0.0,19.10092872237976,1.5916065555080774,9430.537071904342
2024,0.0,9348.964767397756,-9348.964767397756,-99.1579124288694,0.0,16.370504485926265,1.2151034363575655,9430.537071904342
2025,0.0,9186.200156959834,-9186.200156959834,-271.019899403143,0.0,18.487877570551262,2.3138517947588224,9436.418326997667
2026,0.0,9287.13753022083,-9287.13753022083,-166.7082706869519,0.0,15.258729409655903,2.168744500459497,9436.418326997667
2027,0.0,9395.411582399587,-9395.411582399587,-54.4825975051026,0.0,8.309643178788077,1.3358483470407303,9440.24868837886
2028,0.0,9378.875951788217,-9378.875951788217,-69.29208876374048,0.0,6.881150507047477,1.0382016660493973,9440.24868837886
2029,0.0,9338.421601755143,-9338.421601755143,-119.02896964901777,0.0,10.808113284669965,2.0330501274292097,9444.60940799206
2030,0.0,9347.861008615606,-9347.861008615606,-110.0200386047535,0.0,8.540083412895855,1.2837348927811014,9448.057228914682
2031,0.0,9416.281731781915,-9416.281731781915,-39.99252657110242,0.0,7.27611414519069,0.9409152931449439,9448.057228914682
2032,0.0,9342.442116807904,-9342.442116807904,-118.47468585265597,0.0,8.26935675010503,1.7271313238696477,9450.920314586585
2033,0.0,9389.586057235005,-9389.586057235005,-69.76212605156292,0.0,6.8582059634842505,1.5696627364990114,9450.920314586585
2034,0.0,9436.896198840119,-9436.896198840119,-21.12228096825112,0.0,3.7735661081386067,0.9380280990552444,9453.306885601176
2035,0.0,9435.247311741232,-9435.247311741232,-21.92537259913314,0.0,3.143202724979332,0.7225960142101706,9453.306885601176
2036,0.0,9412.434613823245,-9412.434613823245,-49.725167293596144,0.0,5.056681566786952,1.4200325738091433,9455.683066976246
2037,0.0,9411.686035090299,-9411.686035090299,-49.06732775955669,0.0,4.150679358233082,0.919616515377418,9455.683066976246
2038,0.0,9442.095491429232,-9442.095491429232,-20.37169484957019,0.0,3.458966105211881,0.6964956489379921,9458.311724524652
2039,0.0,9419.588584560406,-9419.588584560406,-43.964356205576905,0.0,4.030073258519442,1.2111429828111748,9458.311724524652
2040,0.0,9431.246767665993,-9431.246767665993,-33.868600116750486,0.0,3.3406834699988606,1.1044459493482635,9460.670238363396
2041,0.0,9470.898044946352,-9470.898044946352,5.400490556191187,0.0,1.9225776888679587,0.6535847657373924,9462.921391935555
2042,0.0,9471.836041766865,-9471.836041766865,6.7013702834908315,0.0,1.6999587268881229,0.5133208209310488,9462.921391935555
2043,0.0,9452.648366771875,-9452.648366771875,-16.451547366504883,0.0,2.9540632243201794,1.0744114095593835,9465.0714395045
2044,0.0,9451.676479803078,-9451.676479803078,-16.684721883684205,0.0,2.5810102286507184,0.7087519536114559,9465.0714395045
2045,0.0,9466.023405331865,-9466.023405331865,-4.502953891945083,0.0,2.2619185899526135,0.5531669238964744,9467.711273709961
2046,0.0,9453.218107516277,-9453.218107516277,-18.25845775182188,0.0,2.781867761484718,0.9834237966525823,9467.711273709961
2047,0.0,9456.320248538896,-9456.320248538896,-16.954842765239363,0.0,2.4377529992243634,0.9292918374364612,9469.908046467473
2048,0.0,9485.638383131462,-9485.638383131462,13.69629615164419,0.0,1.4708395849862566,0.563200927358018,9469.908046467473
2049,0.0,9473.52159585619,-9473.52159585619,-0.2672875246542503,0.0,1.2768941958984699,0.4637247548004223,9472.048264430145
2050,0.0,9473.61607652753,-9473.61607652753,-1.640015598951237,0.0,2.2710768323466715,0.9367508639905796,9472.048264430145
2051,0.0,9458.637429919443,-9458.637429919443,-18.495089879538824,0.0,2.017305400205207,0.6374625648634314,9474.477751833912
2052,0.0,9479.659667917995,-9479.659667917995,2.9185466557037216,0.0,1.790852511301155,0.47244807882286644,9474.477820672168
2053,0.0,9460.954227097818,-9460.954227097818,-18.897613845841647,0.0,2.2127960579365222,0.9045857820294615,9476.734459103694
2054,0.0,9477.131482617238,-9477.131482617238,-2.5022124876793157,0.0,2.0616680943039096,0.837567906919798,9476.734459103694
2055,0.0,9487.18926634198,-9487.18926634198,6.5732647375726,0.0,1.2213904384500756,0.5286852995054209,9478.865925866452
2056,0.0,9491.4746507751,-9491.4746507751,11.092058471810134,0.0,1.0985659369255638,0.4181004999132272,9478.865925866452
2057,0.0,9477.061508274131,-9477.061508274131,-6.8252049858841985,0.0,2.0053327470476847,0.8943517172322611,9480.987028795736
2058,0.0,9472.028846355,-9472.028846355,-11.300926687720334,0.0,1.7592282676812492,0.5660272009790399,9481.00451757406
2059,0.0,9487.97532607979,-9487.97532607979,2.9985473660404978,0.0,1.5974662286675918,0.46676117073841117,9482.912551314343
2060,0.0,9472.105327088853,-9472.105327088853,-13.923892922454286,0.0,1.9765770960296183,0.8226668002644353,9483.229976115013
2061,0.0,9480.273402512836,-9480.273402512836,-7.2896302008592215,0.0,1.804588751790049,0.8091250320279727,9484.949318929877
2062,0.0,9495.685288601668,-9495.685288601668,8.727430570177887,0.0,1.0584023587308058,0.4682950447359312,9485.431160628023
2063,0.0,9494.960831452616,-9494.960831452616,6.289787064834968,0.0,0.97239318350252,0.39610704475389863,9487.302544159524
2064,0.0,9489.080291223672,-9489.080291223672,-1.14238226957076,0.0,1.7196025137693836,0.7894242372521515,9487.71364674222
2065,0.0,9483.358422389114,-9483.358422389114,-7.523178037375828,0.0,1.618067764300381,0.6129920500103055,9488.65054061218
2066,0.0,9500.370642569984,-9500.370642569984,5.810686003484477,0.0,1.3758415899520824,0.3889137163767214,9492.79520126017
2067,0.0,9501.133112741027,-9501.133112741027,4.36015728141237,0.0,2.030231690147429,0.8010306267544,9493.941693142713
2068,0.0,9504.483047825852,-9504.483047825852,4.372533527280126,0.0,1.986503446733711,0.7242585083346277,9497.399752343503
2069,0.0,9528.151850755012,-9528.151850755012,28.54509054249658,0.0,1.1755513086275702,0.47424520157495265,9497.956963702312
