year,j_day,manure_P_applied,labile_P,active_P,stable_P,org_P,P_uptake,fert_P_leached,M_leach,DRP_drainage,M_DRP_runoff,fert_P_runoff,DRP_runoff,MIP_runoff,MOP_runoff,WIP,WOP,profile_P,STP
,,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
2010,313,0.0,66.31456764213362,183.91084718574427,746.6407558203002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996.8661706481781,521.780739600893
2010,314,0.0,66.31528001715415,183.9167349660045,746.6341556650194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996.866170648178,521.780739600893
2010,315,0.0,66.31599777093078,183.92259928965186,746.6275735875954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996.866170648178,521.780739600893
2010,316,0.0,66.31672062944868,183.92844049718613,746.6210095215433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996.8661706481781,521.780739600893
2010,317,0.0,66.31744799846963,183.9342587508891,746.6144630865502,0.0,0.0,0.0,0.0,0.0,0.00762222778232149,0.0,4.192100150655557e-07,0.0,0.0,0.0,0.0,996.866169835909,521.7807387886238
2010,318,0.0,66.31809977520248,183.94013502060452,746.6079350401019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996.8661698359089,521.7798931376208
2010,319,0.0,66.31876891032401,183.94597595371621,746.6014249718687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996.866169835909,521.7792395381815
2010,320,0.0,66.3188348735003,183.95173952459268,746.5949326849217,0.0,0.0,0.0,0.0,0.0006627528943318289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996.8655070830147,521.7791847656257
2010,321,0.0,66.31904265942072,183.95747502412044,746.588458101033,0.0,0.0,0.0,0.0,0.0005312984405349598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996.8649757845742,521.7791847656257
2010,322,0.0,66.3197437233893,183.96318756770174,746.5820011543284,0.0,0.0,0.0,0.0,4.333915468719274e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996.8649324454194,521.7791847656257
2010,323,0.0,66.32049326674804,183.96887739911148,746.5755617795598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996.8649324454193,521.7791847656257
2010,324,0.0,66.32124779294055,183.974544740426,746.5691399120528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996.8649324454194,521.7791847656257
2010,325,0.0,66.32200714639939,183.98018981132003,746.5627354877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996.8649324454194,521.7791847656257
2010,326,0.0,66.32277118688724,183.9858128156091,746.5563484429231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996.8649324454194,521.7791847656257
2010,327,0.0,66.32353889141997,183.99141483720987,746.5499787167896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996.8649324454195,521.7791763494743
2010,328,0.0,66.32431113877642,183.99699506020215,746.5436262464408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996.8649324454193,521.7791763494743
2010,329,0.0,66.32326681368448,184.00182551846706,746.5343779082683,0.0,0.0,0.0,0.0,4.803707341504419e-07,0.007621360387989026,0.0,0.0018203987471370649,0.0,0.0,0.0,0.0,996.8594702404198,521.7737146248455
2010,330,0.0,66.32401233976924,184.00739805248227,746.5280598481684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996.8594702404199,521.7733381031671
2010,331,0.0,66.32479536171692,184.01291601570694,746.521758862996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996.8594702404198,521.7733381031671
2010,332,0.0,66.3252776788867,184.0184127401109,746.5154748913859,0.0,0.0,0.0,0.0,0.0003049300363513508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996.8591653103836,521.7733381031671
2010,333,0.0,66.32606902428323,184.02388841363862,746.5092078724616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996.8591653103834,521.7733381031671
2010,334,0.0,66.32358408833151,184.0279591393134,746.4974211585549,0.0,0.0,0.0,0.0,0.0,0.007620422768673334,0.0,0.0032801936528153264,0.0,0.0,0.0,0.0,996.8489643861998,521.7631371789835
2010,335,0.0,66.3243457081238,184.0334307235151,746.4911879545609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996.8489643861999,521.7627339791512
2010,336,0.0,66.32514628143805,184.03884657595884,746.4849715288029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996.8489643861999,521.7627339791512
2010,337,0.0,66.32562551294667,184.04424188897502,746.4787718217766,0.0,0.0,0.0,0.0,0.00032516250147871407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996.8486392236982,521.7627339791512
2010,338,0.0,66.32381283105116,184.04853298817352,746.4682533564425,0.0,0.0,0.0,0.0,0.0,0.007619647389792268,0.0,0.0026207778039276336,0.0,0.0,0.0,0.0,996.8405991756672,521.7546939311201
2010,339,0.0,66.32451664459333,184.05391054952582,746.4620093155647,0.0,0.0,0.0,0.0,0.0,0.007619512733473503,0.0,6.554570424385488e-05,0.0,0.0,0.0,0.0,996.8404365096839,521.7540716511978
2010,340,0.0,66.32531144844754,184.05926549882253,746.4558595624138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996.8404365096839,521.7538743039565
2010,341,0.0,66.32575441400016,184.0645830730195,746.4497263008727,0.0,0.0,0.0,0.0,0.00037272179146098563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996.8400637878924,521.7538743039565
2010,342,0.0,66.32641333236462,184.0698805643984,746.443609472708,0.0,0.0,0.0,0.0,0.0001604184213363129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996.839903369471,521.7538743039565
2010,343,0.0,66.32723618023086,184.07515816904728,746.4375090201929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996.8399033694711,521.7538743039565
2010,344,0.0,66.32748228845308,184.08020670785524,746.4305874067405,0.0,0.0,0.0,0.0,0.0,0.007619313383591913,0.0,0.0005801172968444866,0.0,0.0,0.0,0.0,996.8382764030489,521.7522473375343
