county_code,gps_county,feed_id,neighbor_values,neighbor_distances
4005,"(35.615070833333334, -111.60136666666666)",193,"[np.float64(3.415785860702152), np.float64(3.9152238493771234)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",197,"[np.float64(3.415785860702152), np.float64(3.9152238493771234)]","[139.81482015788097, 127.95774866999056]"
4019,"(32.16647454545454, -111.07206000000002)",1,"[np.float64(0.3082013791208791), np.float64(0.2354030516483516)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",40,"[np.float64(0.6551644443181819), np.float64(0.5561722977272727)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",41,"[np.float64(0.6551644443181819), np.float64(0.5561722977272727)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",43,"[np.float64(0.6551644443181819), np.float64(0.5561722977272727)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",44,"[np.float64(0.6551644443181819), np.float64(0.5561722977272727)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",46,"[np.float64(0.6551644443181819), np.float64(0.5561722977272727)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",47,"[np.float64(0.6551644443181819), np.float64(0.5561722977272727)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",50,"[np.float64(0.2658884742857142), np.float64(0.2834175714285714)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",51,"[np.float64(0.2658884742857142), np.float64(0.2834175714285714)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",52,"[np.float64(0.2658884742857142), np.float64(0.2834175714285714)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",53,"[np.float64(0.2658884742857142), np.float64(0.2834175714285714)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",54,"[np.float64(0.2658884742857142), np.float64(0.2834175714285714)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",55,"[np.float64(0.2658884742857142), np.float64(0.2834175714285714)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",56,"[np.float64(0.2658884742857142), np.float64(0.2834175714285714)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",61,"[np.float64(1.5808143786516855), np.float64(1.543700982022472)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",62,"[np.float64(1.5808143786516855), np.float64(1.543700982022472)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",63,"[np.float64(1.5808143786516855), np.float64(1.543700982022472)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",64,"[np.float64(1.5808143786516855), np.float64(1.543700982022472)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",65,"[np.float64(1.5808143786516855), np.float64(1.543700982022472)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",105,"[np.float64(0.3082013791208791), np.float64(0.2354030516483516)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",106,"[np.float64(0.3082013791208791), np.float64(0.2354030516483516)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",107,"[np.float64(0.3082013791208791), np.float64(0.2354030516483516)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",108,"[np.float64(0.3082013791208791), np.float64(0.2354030516483516)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",109,"[np.float64(0.8108304199999999), np.float64(1.942240071111111)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",110,"[np.float64(0.8108304199999999), np.float64(1.942240071111111)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",111,"[np.float64(0.8108304199999999), np.float64(1.942240071111111)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",164,"[np.float64(1.6028392866666663), np.float64(1.6026119855555556)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",165,"[np.float64(1.6028392866666663), np.float64(1.6026119855555556)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",166,"[np.float64(1.6028392866666663), np.float64(1.6026119855555556)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",167,"[np.float64(1.6028392866666663), np.float64(1.6026119855555556)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",169,"[np.float64(1.6028392866666663), np.float64(1.6026119855555556)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",170,"[np.float64(1.6028392866666663), np.float64(1.6026119855555556)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",171,"[np.float64(1.6028392866666663), np.float64(1.6026119855555556)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",172,"[np.float64(1.6028392866666663), np.float64(1.6026119855555556)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",193,"[np.float64(3.900273566251416), np.float64(3.663605331823329)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",197,"[np.float64(3.900273566251416), np.float64(3.663605331823329)]","[93.29145532905099, 70.34455274951796]"
5001,"(34.36563636363636, -91.34976363636363)",1,"[np.float64(1.1788117802197802), np.float64(1.4300085736263737)]","[64.05371494296546, 65.68137069454716]"
5001,"(34.36563636363636, -91.34976363636363)",40,"[np.float64(0.4189581477272727), np.float64(0.5501446738636364)]","[64.05371494296546, 65.68137069454716]"
5001,"(34.36563636363636, -91.34976363636363)",41,"[np.float64(0.4189581477272727), np.float64(0.5501446738636364)]","[64.05371494296546, 65.68137069454716]"
5001,"(34.36563636363636, -91.34976363636363)",43,"[np.float64(0.4189581477272727), np.float64(0.5501446738636364)]","[64.05371494296546, 65.68137069454716]"
5001,"(34.36563636363636, -91.34976363636363)",44,"[np.float64(0.4189581477272727), np.float64(0.5501446738636364)]","[64.05371494296546, 65.68137069454716]"
