county_code,gps_county,feed_id,neighbor_values,neighbor_distances
4005,"(35.615070833333334, -111.60136666666666)",1,"[np.float64(0.1091113868131868), np.float64(0.2242945241758241)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",40,"[np.float64(0.0935742295454545), np.float64(0.0130955909090909)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",41,"[np.float64(0.0935742295454545), np.float64(0.0130955909090909)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",43,"[np.float64(0.0935742295454545), np.float64(0.0130955909090909)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",44,"[np.float64(0.0935742295454545), np.float64(0.0130955909090909)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",46,"[np.float64(0.0935742295454545), np.float64(0.0130955909090909)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",47,"[np.float64(0.0935742295454545), np.float64(0.0130955909090909)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",50,"[np.float64(0.0071397028571428), np.float64(0.0012523228571428)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",51,"[np.float64(0.0071397028571428), np.float64(0.0012523228571428)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",52,"[np.float64(0.0071397028571428), np.float64(0.0012523228571428)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",53,"[np.float64(0.0071397028571428), np.float64(0.0012523228571428)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",54,"[np.float64(0.0071397028571428), np.float64(0.0012523228571428)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",55,"[np.float64(0.0071397028571428), np.float64(0.0012523228571428)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",56,"[np.float64(0.0071397028571428), np.float64(0.0012523228571428)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",61,"[np.float64(0.1206265359550561), np.float64(0.0048630606741573)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",62,"[np.float64(0.1206265359550561), np.float64(0.0048630606741573)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",63,"[np.float64(0.1206265359550561), np.float64(0.0048630606741573)]","[139.81482015788097, 127.95774866999056]"
