year,j_day,VS_excreted,TS_excreted,N_excreted,P_excreted,K_excreted,flush_water_volume,TS_loss,VS_loss,WIP,WOP,CH4
,,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
2012,16,206616.87799999997,17.439928659451947,13842.581999999993,421.20652229235543,0,390122.3273069883,7802.446546139766,6632.0795642188,5.693867948568733,0.5693867948568733,626.869435958464
2012,17,182776.46899999998,14.724158102023129,12245.360999999995,372.45448561333825,0,390105.7698671381,7802.115397342763,6631.798087741348,4.468152014860058,0.44681520148600584,535.3040910289453
2012,18,182776.46899999998,14.880887727419616,12245.360999999995,372.4881909091225,0,390106.7254122736,7802.134508245472,6631.814332008651,4.464193503851837,0.44641935038518377,539.6136083328192
2012,19,182776.46899999998,15.037617352816104,12245.360999999995,372.52189620490685,0,390107.6809574091,7802.153619148182,6631.830576275955,4.4603920849762115,0.44603920849762096,543.9111941212834
2012,20,182776.46899999998,15.194346978212591,12245.360999999995,372.55560150069095,0,390108.63650254457,7802.172730050892,6631.846820543258,4.456740100565512,0.4456740100565511,548.1970194282696
2012,21,182776.46899999998,15.351076603609084,12245.360999999995,372.58930679647506,0,390109.59204768005,7802.191840953601,6631.863064810561,4.4532303635661545,0.44532303635661535,552.4712507152515
2012,22,182776.46899999998,15.494194174711428,12245.360999999995,372.6200847687552,0,390110.4646031942,7802.209292063884,6631.877898254302,4.448510095626349,0.4448510095626349,556.3831974809993
2012,23,190723.27199999997,16.05457819208586,12777.767999999995,388.79659746066363,0,390113.88113800983,7802.277622760197,6631.935979346167,4.869464451703563,0.48694644517035635,577.26126641616
2012,24,182776.46899999998,14.585831551232825,12245.360999999995,372.4247379680071,0,390104.926521393,7802.09853042786,6631.783750863681,4.514166697326644,0.45141666973266453,530.9949538729913
2012,25,182776.46899999998,14.729298140728323,12245.360999999995,372.45559099800613,0,390105.80120479345,7802.116024095869,6631.798620481489,4.507295188462427,0.45072951884624274,534.9812149602953
2012,26,182776.46899999998,14.879459331007642,12245.360999999995,372.48788372709845,0,390106.71670366323,7802.134334073265,6631.814183962275,4.501485077353833,0.4501485077353834,539.1295132836822
2012,27,198670.07499999998,15.834377447197967,13310.174999999994,404.80524246176304,0,390112.53862379096,7802.250772475819,6631.913156604446,5.365116230831624,0.5365116230831624,576.3033803774708
2012,28,206616.87799999997,16.39051858929125,13842.581999999993,420.9808427073745,0,390115.9292907541,7802.318585815082,6631.970797942819,5.821575399989188,0.5821575399989186,597.0579975672047
2012,29,206616.87799999997,16.5542744622926,13842.581999999993,421.01605902414906,0,390116.9276733346,7802.338553466692,6631.987770446688,5.811788407267349,0.5811788407267348,601.6184612863616
2012,30,206616.87799999997,16.704179460276187,13842.581999999993,421.04829665812395,0,390117.8416102578,7802.356832205156,6632.0033073743825,5.800349362738912,0.5800349362738914,605.8096578003174
2012,31,174829.66599999997,13.625014446248894,11712.953999999996,356.1621106336019,0,390099.0686364626,7801.981372729252,6631.684166819864,4.132256902826074,0.41322569028260736,498.80975188898714
2012,32,182776.46899999998,14.171858586247458,12245.360999999995,372.33571152392415,0,390102.4026217032,7802.048052434065,6631.740844568954,4.5277048775357285,0.4527704877535728,519.3616669189787
2012,33,182776.46899999998,14.3085120300806,12245.360999999995,372.3650993613077,0,390103.2357668931,7802.064715337861,6631.755008037182,4.51950947359273,0.4519509473592731,523.2058445596014
2012,34,182776.46899999998,14.438166629685304,12245.360999999995,372.39298207089996,0,390104.02624171,7802.0805248342,6631.76844610907,4.510786109883949,0.45107861098839497,526.8568918616317
