year,manure_P_applied,P_uptake,fert_P_leach,M_leach,DRP_leach,M_DRP_runoff,fert_P_runoff,DRP_runoff,MIP_runoff,MOP_runoff
,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
2014,0.0,825.9022868906023,0.0,0.0,91.40231193879134,15.524125834820536,0.0,4.851668225109547,0.0,0.0
2015,0.0,861.8609638606503,0.0,0.0,91.48556801811085,15.864498919079173,0.0,8.585022211017279,0.0,0.0
2016,0.0,898.2663927406995,0.0,0.0,122.08462547736758,15.84596605636435,0.0,6.434647545654471,0.0,0.0
2017,0.0,923.0570742386228,0.0,0.0,98.95476934412517,10.245700011026118,0.0,3.898765945063888,0.0,0.0
2018,0.0,937.0342063993902,0.0,0.0,191.64879214442033,10.259485365766595,0.0,5.762980858637876,0.0,0.0
2019,0.0,948.9182457152723,0.0,0.0,189.129864635949,9.24509471211166,0.0,4.169682573517687,0.0,0.0
2020,0.0,959.2104483563188,0.0,0.0,102.55793506212504,4.797341856644857,0.0,1.722776302584177,0.0,0.0
2021,0.0,975.8361174428458,0.0,0.0,86.26507173157852,4.291068366189649,0.0,1.3104225580247018,0.0,0.0
2022,0.0,1012.4847703993368,0.0,0.0,90.89232244686742,4.378325235954521,0.0,2.3882480811293076,0.0,0.0
2023,0.0,1049.2409807715974,0.0,0.0,121.06437885603813,4.671668953409927,0.0,1.9045064039371682,0.0,0.0
2024,0.0,1071.3855948833846,0.0,0.0,89.74380676530734,3.3130623413509057,0.0,1.255645367085354,0.0,0.0
2025,0.0,1083.1343155649554,0.0,0.0,86.21578810553441,3.865152484315049,0.0,2.199179883311595,0.0,0.0
2026,0.0,1095.0571627724503,0.0,0.0,53.01045014892094,4.563901826956582,0.0,2.1392237384606614,0.0,0.0
2027,0.0,1106.6283622454735,0.0,0.0,21.702585212087865,3.03647006055531,0.0,1.0879611581385356,0.0,0.0
2028,0.0,1121.9232274577505,0.0,0.0,18.125669497586824,2.913129042504503,0.0,0.8868951431225724,0.0,0.0
2029,0.0,1175.6143277862489,0.0,0.0,17.673804153532355,3.037812357778607,0.0,1.6597592865289983,0.0,0.0
2030,0.0,1225.0425676419106,0.0,0.0,20.93159731374449,3.3151856714975736,0.0,1.352252708111419,0.0,0.0
2031,0.0,1247.6677141093885,0.0,0.0,15.444073862131203,2.38050728077349,0.0,0.9061563259913843,0.0,0.0
2032,0.0,1259.5241975274464,0.0,0.0,26.415419802889236,2.80559919522474,0.0,1.5861926545151812,0.0,0.0
2033,0.0,1293.2010325487365,0.0,0.0,22.74617299934215,3.3412718149031493,0.0,1.5555284253154227,0.0,0.0
2034,0.0,1319.6221415578423,0.0,0.0,10.364428334491157,2.2262618982342164,0.0,0.790349214979329,0.0,0.0
2035,0.0,1332.5539167763018,0.0,0.0,8.758062677964324,2.1312716916395376,0.0,0.6480318142033044,0.0,0.0
2036,0.0,1355.2129534213168,0.0,0.0,8.826443113439577,2.162403683919141,0.0,1.2014395940495914,0.0,0.0
2037,0.0,1384.1851601479993,0.0,0.0,11.595046062310946,2.3960489927397632,0.0,0.9760419115569471,0.0,0.0
2038,0.0,1405.8225521183,0.0,0.0,7.532170857718325,1.7056752559937718,0.0,0.6488591395026233,0.0,0.0
2039,0.0,1417.2802521618723,0.0,0.0,14.929223561510389,1.9961321088369492,0.0,1.1352892822569298,0.0,0.0
2040,0.0,1467.255093730191,0.0,0.0,13.362328621003467,2.366071034856722,0.0,1.101269226890965,0.0,0.0
2041,0.0,1505.342025660258,0.0,0.0,5.9176783493448095,1.5605741714772665,0.0,0.5479678792903084,0.0,0.0
2042,0.0,1518.2838462518966,0.0,0.0,5.108049686232075,1.4732506292071097,0.0,0.44777159234808034,0.0,0.0
2043,0.0,1542.1521110245567,0.0,0.0,5.182123102918281,1.4657719930121067,0.0,0.8127933751031284,0.0,0.0
2044,0.0,1571.809471118499,0.0,0.0,6.883878688232228,1.5965597128641007,0.0,0.6508565346240535,0.0,0.0
2045,0.0,1591.4086315892687,0.0,0.0,4.5249797218059316,1.1113630694079262,0.0,0.42404624509162087,0.0,0.0
2046,0.0,1601.8858426175073,0.0,0.0,8.978216154770594,1.2724755521163638,0.0,0.7220711007764975,0.0,0.0
2047,0.0,1651.9300328705397,0.0,0.0,8.1859872955793,1.4768144419878508,0.0,0.6827431351568211,0.0,0.0
2048,0.0,1690.0195527360522,0.0,0.0,3.675320007913835,0.9482873048247736,0.0,0.33223797886206413,0.0,0.0
2049,0.0,1703.1965808777838,0.0,0.0,3.1745348179100437,0.8666224631963879,0.0,0.26403839667002427,0.0,0.0
2050,0.0,1717.326417274516,0.0,0.0,3.2393490273222043,0.8224930249743486,0.0,0.4538746231561716,0.0,0.0
2051,0.0,1741.520294750857,0.0,0.0,4.31163411048186,0.8532346511920095,0.0,0.34347947920290367,0.0,0.0
2052,0.0,1762.5560142499342,0.0,0.0,2.812492848438715,0.553305503593855,0.0,0.2090336606561781,0.0,0.0
2053,0.0,1773.1094138399885,0.0,0.0,5.65237786542713,0.5892884844731853,0.0,0.32957984964058357,0.0,0.0
2054,0.0,1805.632626335125,0.0,0.0,5.165174388113144,0.6267450573676197,0.0,0.2805982852274262,0.0,0.0
2055,0.0,1830.6404378218135,0.0,0.0,2.4111223504551806,0.35892424939173206,0.0,0.12427135073889888,0.0,0.0
2056,0.0,1843.8246006675574,0.0,0.0,2.0988847066824956,0.28060108220081326,0.0,0.08728512682337358,0.0,0.0
2057,0.0,1860.669419344635,0.0,0.0,2.1482078711841623,0.20117703645768314,0.0,0.10743632912532733,0.0,0.0
2058,0.0,1885.3082494175926,0.0,0.0,2.87855907768239,0.13673386035770546,0.0,0.05045901220754334,0.0,0.0
2059,0.0,1905.1237112350077,0.0,0.0,1.8943841275834017,0.020982682995224988,0.0,0.007131808989815144,0.0,0.0
2060,0.0,1932.8666577841273,0.0,0.0,3.758496149316901,0.0,0.0,0.0,0.0,0.0
2061,0.0,1959.6878308141515,0.0,0.0,3.3483702624172533,0.0,0.0,0.0,0.0,0.0
2062,0.0,1972.4115063403422,0.0,0.0,1.5906188361801459,0.0,0.0,0.0,0.0,0.0
2063,0.0,1985.8157866482466,0.0,0.0,1.3777919672414487,0.0,0.0,0.0,0.0,0.0
2064,0.0,2001.8251977559792,0.0,0.0,1.403754586509872,0.0,0.0,0.0,0.0,0.0
2065,0.0,2024.2497737315346,0.0,0.0,1.8717867603008385,0.0,0.0,0.0,0.0,0.0
2066,0.0,2042.5625065197507,0.0,0.0,1.241229363886065,0.0,0.0,0.0,0.0,0.0
2067,0.0,2070.4898010888473,0.0,0.0,2.393028776494264,0.0,0.0,0.0,0.0,0.0
2068,0.0,2099.431068249233,0.0,0.0,2.1196554425580243,0.0,0.0,0.0,0.0,0.0
2069,0.0,2113.789679967739,0.0,0.0,0.9169580851893896,0.0,0.0,0.0,0.0,0.0
