year,j_day,change in sw,runoff,evaporation,transpiration,drainage,precipitation,calculated water,difference
,,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O
2010,166,18.47118616263242,3.6791096311168707,0.7251568022575042,0.49254740399319397,0.0,23.368,23.367999999999988,1.0658141036401503e-14
2010,167,12.562498881094626,3.0993616759922746,1.4722285626473175,0.6459108802657944,0.0,17.78,17.780000000000012,-1.0658141036401503e-14
2010,168,-3.0861424349172353,0.0,2.0805095226498884,1.0056329122673595,0.0,0.0,1.2878587085651816e-14,-1.2878587085651816e-14
2010,169,-8.932338330699025,0.0,1.5422297133235843,1.0371914079933917,10.924917209382075,4.572,4.572000000000026,-2.5757174171303632e-14
2010,170,-15.728270616961083,0.0,2.0259524727231693,1.2817394352053502,12.420578709032545,0.0,-1.7763568394002505e-14,1.7763568394002505e-14
2010,171,-2.857806221308948,0.0,1.5042849921018915,1.3535212292070489,0.0,0.0,-7.993605777301127e-15,7.993605777301127e-15
2010,172,-2.315134406752378,0.0,1.0518077841123656,1.263326622640024,0.0,0.0,1.1546319456101628e-14,-1.1546319456101628e-14
2010,173,11.409547048862635,0.49182635679176046,0.8179169804216895,1.250709613923918,0.0,13.97,13.970000000000002,-1.7763568394002505e-15
2010,174,26.55639374784724,36.00804240713516,1.8068069126974415,1.668756932320155,0.0,66.04,66.03999999999999,1.4210854715202004e-14
2010,175,-3.4810750470145138,0.0,1.7279858079828685,1.7530892390316382,0.0,0.0,-7.105427357601002e-15,7.105427357601002e-15
2010,176,-4.712364903881479,0.0,1.3854985023221384,1.8883243024587488,1.4385420991006004,0.0,8.659739592076221e-15,-8.659739592076221e-15
2010,177,-14.535267889168807,6.136279773459257,1.1712962220448064,2.080488977409595,26.48320291625513,21.336,21.33599999999998,1.7763568394002505e-14
2010,178,7.164533211297879,0.4759387913477402,1.584688821631768,1.9508391757226495,0.0,11.176,11.176000000000037,-3.730349362740526e-14
