year,j_day,NO3_L1,NO3_L2,NO3_L3,NH4_L1,NH4_L2,NH4_L3,ActiveN_L1,ActiveN_L2,ActiveN_L3,StableN_L1,StableN_L2,StableN_L3,FreshN,Nitri_L1,Nitri_L2,Nitri_L3,Volati_L1,Volati_L2,Volati_L3,Denitri_L1,Denitri_L2,Denitri_L3,Tot_Nitri_Vol_L1,Tot_Nitri_Vol_L2,Tot_Nitri_Vol_L3,N_trans_L1,N_trans_L2,N_trans_L3,NO3_runoff,NH4_runoff,NO3_perc_L1,NO3_perc_L2,NO3_perc_L3,NH4_perc_L1,NH4_perc_L2,NH4_perc_L3,active_perc_L1,active_perc_L2,active_perc_L3,NH4_erosion,activeN_erosion,stableN_erosion,freshN_erosion
,,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg,kg,kg,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha
2009,253,13.625831244765392,11.880416931672253,10.127626802975014,0.9613242866482637,1.1365901329025243,1.3681388164683532,35.972176644944504,35.97301135178358,35.977426337730236,1763.9999247400274,1763.9999299976785,1763.9999415031448,0.0,0.06831343473019212,0.0944465774651896,0.07853125365238021,0.017401355112499708,7.688918019055097e-06,3.8616145805391805e-08,0,0,0,0.08571478984269183,0.09445426638320865,0.07853129226852602,-1.3639511133030738e-05,-1.3230352779216903e-05,-1.1066042564916644e-05,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2009,254,13.697503375444684,11.98386225196312,10.21464443158011,0.8733964451837606,1.036470051335912,1.283887996092987,35.96916244820165,35.96969247060044,35.97467190275806,1763.9999096229722,1763.999915140409,1763.9999290868782,0.0,0.07167213067929283,0.10344532029086818,0.08701762860509575,0.019285024583207293,8.499728326346986e-06,4.300909698901884e-08,0,0,0,0.09095715526250012,0.10345382001919454,0.08701767161419274,-1.511705513848483e-05,-1.4857269444594295e-05,-1.2416266650657236e-05,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2009,255,13.761411117364714,12.080408532980048,10.298332320155433,0.7945309618050188,0.943290077595607,1.2030020336709148,35.966178943890625,35.96633471289987,35.971883718219445,1763.9998930434344,1763.9998986371804,1763.9999153038555,0.0,0.06390774192002963,0.09654628101692624,0.083687888575323,0.01795782530743922,7.953652615753398e-06,4.140798889989774e-08,0,0,0,0.08186556722746885,0.09655423466954198,0.0836879299833119,-1.6579537696788978e-05,-1.6503228665199004e-05,-1.3783022622340014e-05,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2009,256,13.814398563164273,12.164029362891164,10.373507071442948,0.7289458772725899,0.8629497789412262,1.130568538702599,35.96333956962114,35.96306540613438,35.96915754411393,1763.9998750720872,1763.9998805313712,1763.9999001844906,0.0,0.05298744579955932,0.08362082991111582,0.07517475128751518,0.015454984349634871,6.881317962156809e-06,3.715122006267631e-08,0,0,0,0.0684424301491942,0.08362771122907797,0.07517478843873523,-1.7971347280154078e-05,-1.8105809212470378e-05,-1.5119364911533923e-05,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2009,257,13.86034149745914,12.23933420334422,10.443346186847018,0.671849835942346,0.7908988803685875,1.0634542145037622,35.96058468912131,35.95982495769026,35.96644916536934,1763.9998557503666,1763.999860837145,1763.9998837375208,0.0,0.04594293429486761,0.07530484045305501,0.06983911540407035,0.013927309255901233,6.200789926750713e-06,3.4509188590999566e-08,0,0,0,0.05987024355076884,0.07531104124298175,0.06983914991325894,-1.9321720694567833e-05,-1.9694226216331574e-05,-1.6446969829146385e-05,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2009,258,13.902776983684742,12.311092912143735,10.511596145441889,0.6187947808441139,0.7224613167312023,0.9979831192046225,35.957827545160654,35.956519199063564,35.963688068704876,1763.9998350771764,1763.9998395225,1763.999865937115,0.0,0.04243548622560203,0.07175870879951508,0.06824995859487086,0.01339738602352092,5.92810956996252e-06,3.3774640967513035e-08,0,0,0,0.05583287224912295,0.07176463690908505,0.06824999236951182,-2.067319023816026e-05,-2.1314645006355025e-05,-1.7800405908712948e-05,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2009,259,13.94344854189726,12.381572569841929,10.580210730004122,0.5675961867799044,0.6554318157853618,0.932248019994247,35.95501251095403,35.95308618781352,35.9608277517781,1763.99981302415,1763.9998165250681,1763.9998467346447,0.0,0.04067155821251789,0.07047965769819274,0.06861458456223367,0.013364123084702797,5.851929636633008e-06,3.4045135648311876e-08,0,0,0,0.05403568129722069,0.07048550962782937,0.06861461860736932,-2.2053026387218325e-05,-2.2997431938026694e-05,-1.920247021028672e-05,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2009,260,13.970168460377822,12.430083459018238,10.630169258996151,0.534232996969577,0.609907900684002,0.8848213437952136,35.95265237921966,35.95011968337948,35.958316307877965,1763.9997898143126,1763.9997920735666,1763.9998263011557,0.0,0.026719918480562897,0.04851088917630987,0.04995852899202979,0.0090266129013804,3.981860724267719e-06,2.4596033344672696e-08,0,0,0,0.0357465313819433,0.048514871037034134,0.04995855358806313,-2.3209837244116898e-05,-2.445150163053768e-05,-2.043348889580557e-05,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2009,261,13.990228577351898,12.467972230738997,10.670757706069992,0.5093096619274475,0.5747473517557967,0.8465704887206537,35.95055594082492,35.94741414419068,35.9560002646742,1763.9997655769491,1763.9997662959454,1763.9998047324536,0.0,0.020060116974076368,0.037888771720759634,0.04058844707384153,0.006983893826241256,3.094017357144223e-06,1.9906462903993684e-08,0,0,0,0.027044010800317625,0.03789186573811678,0.04058846698030443,-2.423736344700501e-05,-2.5777621116581034e-05,-2.1568701985170267e-05,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2009,262,14.007723512631882,12.501912609410228,10.70794112685177,0.48755057568287,0.5434648359117852,0.8116731443564436,35.94855528830681,35.9447805795018,35.95373684813908,1763.9997403590278,1763.999739227503,1763.9997820543497,0.0,0.017494935279984605,0.03394037867123088,0.03718342078177892,0.006290021403988245,2.7703042032562373e-06,1.8221560460477284e-08,0,0,0,0.023784956683972847,0.033943148975434136,0.03718343900333938,-2.5217921280584507e-05,-2.7068442540416983e-05,-2.2678104007352432e-05,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
