year,j_day,precipitation,runoff,sediment,labile_P_l1,active_P_l1,stable_P_l1,sediment P
,,mm H2O,mm H2O,metric tons,kg,kg,kg,kg P / ha
2009,281,0.0,0.0,0.0,17.604620366326063,85.93855685921646,343.75422637827546,0.0
2009,282,1.27,0.0,0.0,17.604620366326063,85.93855685921646,343.75422637827546,0.0
2009,283,0.0,0.0,0.0,17.604620366326063,85.93855685921646,343.75422637827546,0.0
2009,284,0.0,0.0,0.0,17.604620366326063,85.93855685921646,343.75422637827546,0.0
2009,285,0.0,0.0,0.0,17.604620366326063,85.93855685921646,343.75422637827546,0.0
2009,286,0.0,0.0,0.0,17.604620366326063,85.93855685921646,343.75422637827546,0.0
2009,287,1.778,0.0,0.0,17.604620366326063,85.93855685921646,343.75422637827546,0.0
2009,288,2.032,0.0,0.0,17.604620366326063,85.93855685921646,343.75422637827546,0.0
2009,289,3.81,0.0,0.0,17.53197682444322,85.93855685921646,343.75422637827546,0.0
2009,290,0.0,0.0,0.0,16.216691792955842,85.93855685921646,343.75422637827546,0.0
2009,291,0.0,0.0,0.0,16.216691792955842,85.93855685921646,343.75422637827546,0.0
2009,292,0.0,0.0,0.0,16.216691792955842,85.93855685921646,343.75422637827546,0.0
2009,293,0.0,0.0,0.0,16.216691792955842,85.93855685921646,343.75422637827546,0.0
2009,294,2.54,0.0,0.0,16.216691792955842,85.93855685921646,343.75422637827546,0.0
2009,295,9.398,0.06718276419245633,0.0004485194997461345,16.21666585290392,85.9384698525953,343.7538783517214,0.0004350331047020423
2009,296,23.368,5.584622228374895,0.06284318240721477,13.00599167790001,85.92775295580651,343.71100969551713,0.05358448381193022
2009,297,15.24,3.202481805867348,0.033948742660722946,5.976612121991895,85.92187834256544,343.68751092139064,0.029373066059921397
2009,298,0.762,0.0,0.0,5.88578970232018,85.92187834256544,343.68751092139064,0.0
2009,299,0.762,0.0,0.0,5.884823778362605,85.92187834256544,343.68751092139064,0.0
2009,300,4.318,0.0,0.0,5.884294835762392,85.92187834256544,343.68751092139064,0.0
2009,301,0.0,0.0,0.0,5.856515989955856,85.92187834256544,343.68751092139064,0.0
2009,302,0.0,0.0,0.0,5.856515989955856,85.92187834256544,343.68751092139064,0.0
2009,303,22.352,4.352693008229059,0.04759828562109488,5.8559090467129495,85.91370525165763,343.6548179360256,0.04086545430610575
2009,304,0.508,0.0,0.0,5.739460909810729,85.91370525165763,343.6548179360256,0.0
2009,305,0.0,0.0,0.0,5.739460909810729,85.91370525165763,343.6548179360256,0.0
2009,306,0.0,0.0,0.0,5.739460909810729,85.91370525165763,343.6548179360256,0.0
2009,307,0.0,0.0,0.0,5.739460909810729,85.91370525165763,343.6548179360256,0.0
2009,308,0.0,0.0,0.0,5.739460909810729,85.91370525165763,343.6548179360256,0.0
2009,309,0.0,0.0,0.0,5.739460909810729,85.91370525165763,343.6548179360256,0.0
2009,310,0.0,0.0,0.0,5.739460909810729,85.91370525165763,343.6548179360256,0.0
2009,311,0.0,0.0,0.0,5.739460909810729,85.91370525165763,343.6548179360256,0.0
2009,312,0.0,0.0,0.0,5.739460909810729,85.91370525165763,343.6548179360256,0.0
