id,breed,birth_date,days_born,birth_weight,body_weight,wean_weight,mature_body_weight,events,repro_program,tai_method_h,synch_ed_method_h,estrus_count,estrus_day,tai_program_start_day_h,synch_ed_program_start_day_h,synch_ed_estrus_day,synch_ed_stop_day,conception_rate,ai_day,abortion_day,days_in_preg,gestation_length,p_gest_for_calf,calf_birth_weight
	days born 564: ['pregnancy check 1: not pregnant'] 
	days born 565: ['inject GnRH'] 
	days born 570: ['inject PGF'] 
	days born 571: ['inject PGF'] 
	days born 573: ['inject GnRH', 'inseminated with conventional', 'heifer not pregnant'] 
	days born 605: ['pregnancy check 1: not pregnant'] 
	days born 606: ['inject GnRH'] 
	days born 611: ['inject PGF'] 
	days born 612: ['inject PGF'] 
	days born 614: ['inject GnRH', 'inseminated with conventional', 'heifer pregnant'] 
	days born 646: ['pregnancy check 1: confirmed'] 
	days born 705: ['pregnancy check 2: confirmed'] 
	days born 814: ['pregnancy check 3: confirmed'] 
",TAI,md5CG2P,2P,0,0,606,0,0,0,0.6,614,605,228,278,0,45.19170594
328493,HO,0,841,42.87338545,616.5594523,85.03221448,790.5015215,"	days born 60: ['wean day'] 
	days born 360: ['breeding start', 'inject GnRH'] 
	days born 365: ['inject PGF'] 
	days born 366: ['inject PGF'] 
	days born 368: ['inject GnRH', 'inseminated with conventional', 'heifer pregnant'] 
	days born 400: ['pregnancy check 1: confirmed'] 
	days born 459: ['pregnancy loss happened between 1st and 2nd pregnancy check'] 
	days born 460: ['inject GnRH'] 
	days born 465: ['inject PGF'] 
	days born 466: ['inject PGF'] 
	days born 468: ['inject GnRH', 'inseminated with conventional', 'heifer not pregnant'] 
	days born 500: ['pregnancy check 1: not pregnant'] 
	days born 501: ['inject GnRH'] 
	days born 506: ['inject PGF'] 
	days born 507: ['inject PGF'] 
	days born 509: ['inject GnRH', 'inseminated with conventional', 'heifer pregnant'] 
	days born 541: ['pregnancy loss happened before 1st pregnancy check'] 
	days born 542: ['inject GnRH'] 
	days born 547: ['inject PGF'] 
	days born 548: ['inject PGF'] 
	days born 550: ['inject GnRH', 'inseminated with conventional', 'heifer not pregnant'] 
	days born 582: ['pregnancy check 1: not pregnant'] 
	days born 583: ['inject GnRH'] 
	days born 588: ['inject PGF'] 
	days born 589: ['inject PGF'] 
	days born 591: ['inject GnRH', 'inseminated with conventional', 'heifer not pregnant'] 
	days born 623: ['pregnancy check 1: not pregnant'] 
	days born 624: ['inject GnRH'] 
	days born 629: ['inject PGF'] 
	days born 630: ['inject PGF'] 
	days born 632: ['inject GnRH', 'inseminated with conventional', 'heifer pregnant'] 
	days born 664: ['pregnancy check 1: confirmed'] 
	days born 723: ['pregnancy check 2: confirmed'] 
	days born 832: ['pregnancy check 3: confirmed'] 
",TAI,md5CG2P,2P,0,0,624,0,0,0,0.6,632,623,210,277,0,44.03688622
328496,HO,0,841,44.8401242,616.1683671,88.93291299,784.3972241,"	days born 60: ['wean day'] 
	days born 360: ['breeding start', 'inject GnRH'] 
	days born 365: ['inject PGF'] 
	days born 366: ['inject PGF'] 
	days born 368: ['inject GnRH', 'inseminated with conventional', 'heifer not pregnant'] 
	days born 400: ['pregnancy check 1: not pregnant'] 
	days born 401: ['inject GnRH'] 
	days born 406: ['inject PGF'] 
	days born 407: ['inject PGF'] 
	days born 409: ['inject GnRH', 'inseminated with conventional', 'heifer not pregnant'] 
	days born 441: ['pregnancy check 1: not pregnant'] 
	days born 442: ['inject GnRH'] 
	days born 447: ['inject PGF'] 
	days born 448: ['inject PGF'] 
	days born 450: ['inject GnRH', 'inseminated with conventional', 'heifer pregnant'] 
	days born 482: ['pregnancy check 1: confirmed'] 
	days born 541: ['pregnancy loss happened between 1st and 2nd pregnancy check'] 
	days born 542: ['inject GnRH'] 
	days born 547: ['inject PGF'] 
	days born 548: ['inject PGF'] 
	days born 550: ['inject GnRH', 'inseminated with conventional', 'heifer not pregnant'] 
	days born 582: ['pregnancy check 1: not pregnant'] 
	days born 583: ['inject GnRH'] 
	days born 588: ['inject PGF'] 
	days born 589: ['inject PGF'] 
	days born 591: ['inject GnRH', 'inseminated with conventional', 'heifer not pregnant'] 
	days born 623: ['pregnancy check 1: not pregnant'] 
	days born 624: ['inject GnRH'] 
	days born 629: ['inject PGF'] 
	days born 630: ['inject PGF'] 
	days born 632: ['inject GnRH', 'inseminated with conventional', 'heifer pregnant'] 
	days born 664: ['pregnancy check 1: confirmed'] 
	days born 723: ['pregnancy check 2: confirmed'] 
	days born 832: ['pregnancy check 3: confirmed'] 
",TAI,md5CG2P,2P,0,0,624,0,0,0,0.6,632,623,210,278,0,44.51154374
329095,HO,0,829,44.7509363,691.6521687,88.75602365,844.7678073,"	days born 60: ['wean day'] 
	days born 360: ['breeding start', 'inject GnRH'] 
	days born 365: ['inject PGF'] 
	days born 366: ['inject PGF'] 
	days born 368: ['inject GnRH', 'inseminated with conventional', 'heifer pregnant'] 
	days born 400: ['pregnancy check 1: confirmed'] 
	days born 459: ['pregnancy check 2: confirmed'] 
	days born 568: ['pregnancy loss happened between 2nd and 3rd pregnancy check'] 
	days born 569: ['inject GnRH'] 
	days born 574: ['inject PGF'] 
	days born 575: ['inject PGF'] 
	days born 577: ['inject GnRH', 'inseminated with conventional', 'heifer pregnant'] 
	days born 609: ['pregnancy loss happened before 1st pregnancy check'] 
	days born 610: ['inject GnRH'] 
	days born 615: ['inject PGF'] 
	days born 616: ['inject PGF'] 
	days born 618: ['inject GnRH', 'inseminated with conventional', 'heifer pregnant'] 
	days born 650: ['pregnancy check 1: confirmed'] 
	days born 709: ['pregnancy check 2: confirmed'] 
	days born 818: ['pregnancy check 3: confirmed'] 
",TAI,md5CG2P,2P,0,0,610,0,0,0,0.6,618,609,212,267,0,44.51629845
329173,HO,0,832,44.76886574,548.9264879,88.79158372,695.8844839,"	days born 60: ['wean day'] 
	days born 360: ['breeding start', 'inject GnRH'] 
	days born 365: ['inject PGF'] 
	days born 366: ['inject PGF'] 
	days born 368: ['inject GnRH', 'inseminated with conventional', 'heifer not pregnant'] 
	days born 400: ['pregnancy check 1: not pregnant'] 
	days born 401: ['inject GnRH'] 
	days born 406: ['inject PGF'] 
	days born 407: ['inject PGF'] 
