year,j_day,num_animals_in_pen,average_growth,average_milk,average_p_animal,average_p_req
,,,kg,kg,g,g
2009,287,155,0.09190048940317828,0.0,3671.076297738841,14.804306549179268
2009,288,155,0.09190048940317828,0.0,3656.3972280575513,14.804576943891815
2009,289,155,0.09190048940317828,0.0,3641.7178837220495,14.804847340434549
2009,290,155,0.09190048940317828,0.0,3627.0382647317115,14.805117738806512
2009,291,155,0.09190048940317828,0.0,3612.3623340360896,14.793593644476793
2009,292,155,0.09190048940317828,0.0,3597.68612852476,14.793864521658715
2009,293,161,0.08847562644405363,0.0,3449.4811872715313,14.794135400533424
2009,294,161,0.08847562644405363,0.0,3434.9178539028535,14.677240583671884
2009,295,161,0.08847562644405363,0.0,3420.3571591159975,14.66886102094972
2009,296,161,0.08847562644405363,0.0,3405.7961996358613,14.669122157921652
2009,297,161,0.08847562644405363,0.0,3391.234975461939,14.669383296422032
2009,298,161,0.08847562644405363,0.0,3376.6734895441423,14.669641486025135
2009,299,161,0.08847562644405363,0.0,3362.1117389315286,14.669902627580033
2009,300,165,0.08633076277268263,0.0,3266.396926820027,14.670163770661
2009,301,165,0.08633076277268263,0.0,3251.892159270345,14.610727612352724
2009,302,165,0.08633076277268263,0.0,3237.387133441193,14.610982427668164
2009,303,165,0.08633076277268263,0.0,3222.881849332072,14.611237244470354
2009,304,165,0.08633076277268263,0.0,3208.3763092421727,14.61148976306136
2009,305,165,0.08633076277268263,0.0,3193.8705108713107,14.611744582834751
2009,306,165,0.08633076277268263,0.0,3179.3644542189772,14.611999404092591
2009,307,169,0.08428743110942387,0.0,3089.9501309898865,14.612254226834107
2009,308,169,0.08428743110942387,0.0,3075.534621954023,14.519312114774431
2009,309,169,0.08428743110942387,0.0,3061.1188607484078,14.519560909103332
2009,310,169,0.08428743110942387,0.0,3046.7060230417587,14.510362453886144
2009,311,169,0.08428743110942387,0.0,3032.292933036526,14.510611631607143
2009,312,169,0.08428743110942387,0.0,3017.8795907322724,14.51086081066597
2009,313,169,0.08428743110942387,0.0,3003.4659961285433,14.511109991061932
2009,314,169,0.08428743110942387,0.0,2989.0521629008886,14.51135917279433
2009,315,169,0.08428743110942387,0.0,2974.6301556861167,14.519530042609466
2009,316,169,0.08428743110942387,0.0,2960.207896170518,14.519779227012679
2009,317,169,0.08428743110942387,0.0,2945.7853843536527,14.520028412750257
2009,318,169,0.08428743110942387,0.0,2931.3662796034528,14.50938662248437
2009,319,169,0.08428743110942387,0.0,2916.946922403669,14.509636249634799
2009,320,169,0.08428743110942387,0.0,2902.527315828793,14.509883069497052
2009,321,173,0.08233858877163372,0.0,2821.330319692358,14.510132698949972
2009,322,173,0.08233858877163372,0.0,2806.974243892096,14.444658088134151
2009,323,173,0.08233858877163372,0.0,2792.6179241934638,14.444899232394574
2009,324,173,0.08233858877163372,0.0,2778.2651909679557,14.43373509458153
2009,325,173,0.08233858877163372,0.0,2763.912210973065,14.43397941661795
2009,326,173,0.08233858877163372,0.0,2749.5589842084414,14.434223739702489
2009,327,173,0.08233858877163372,0.0,2735.2055106737307,14.434468063834613
2009,328,177,0.08047782970334821,0.0,2659.36353846912,14.434712389013773
2009,329,177,0.08047782970334821,0.0,2645.0661184937157,14.376975495379252
