year,runoff,drainage,erosion,ET,manure_applied,manure_N_applied,manure_P_applied,N_runoff,P_runoff,N_drainage,P_drainage,N_erosion,P_erosion,yield,N_yield,P_yield
,mm H2O,mm H2O,ton / ha,mm H2O,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
2009,220.92035176799462,51.935135460255026,2.1925113113922228,659.0189763994549,0.0,0.0,0.0,0.0028176277690918385,0.19648730095684944,4.617889732765668,0.007158803544557938,0.0005867117034081796,0.2706021443079211,0.0,0.0,0.0
2010,283.63423192631427,45.575142773968274,2.098117907671935,624.8000573297305,0.0,0.0,0.0,0.0038152396860484925,0.20825399450369472,3.955483007583436,0.006282140382668908,0.0006027484167815758,0.27092677103273116,0.0,0.0,0.0
2011,140.99890433528947,58.767174159756806,0.5628719397343683,600.5289746366794,0.0,0.0,0.0,0.0016488184079051333,0.14665946366565613,4.975577892103562,0.008100539047161215,0.00019818990895236816,0.08239578210828767,0.0,0.0,0.0
2012,244.23970712331865,71.97030108478366,1.1090973213889195,480.44122033950026,31375.999999999996,1568.8,487.59999999999997,0.033080657426942675,0.5493915860058225,5.905975766498716,0.009920624233008189,0.11467806755324603,0.17497779983232792,0.0,0.0,0.0
2013,11554.350708775348,80.16464709654305,7.122258595320344,1039.4368401169156,38796.0,1939.8,657.1999999999999,85.77065132205803,12.351902955567665,0.30442914184221487,0.01087635615065174,1.2001242747138756,2.3267633427280354,17855.443149838306,1071.326588990296,33.925342631047926
2014,16781.683154983297,521.0135962386539,15.606379388227477,1417.31343984325,25440.0,1272.0,381.59999999999997,2205.362870260291,40.835268190403326,124.4213098071266,0.07063680913500461,9.827060030020133,5.2530738389731475,42680.28008749207,2347.41249648984,81.09802761866898
2015,9844.584782663655,128.29918954076902,6.670005760380338,1100.4679772999066,31800.0,1590.0,710.1999999999999,120.54996528417999,28.73180008718371,14.901680068874942,0.017220537785315074,-163.44033796834523,3.0361903597760342,25823.48777809808,1420.2902326867609,49.06761553693497
2016,20779.8717316283,672.611210564707,13.271594650447366,1400.4790907410038,51091.99999999999,2554.5999999999995,1081.2,1911.5397691951343,112.05179838570504,102.8573024626075,0.08995234207876014,12.77938539972493,8.547718839784027,27086.570016033133,1598.107630910472,35.21395450071937
2017,177.02198933031008,116.46768859831572,0.03172764310388233,497.0971874444352,0.0,0.0,0.0,85.09229380620621,7.780997265636322,20.21827682347578,0.015667815150959382,0.1317271235830178,0.027762367600347716,0.0,0.0,0.0
2018,209.36317717117382,48.67942380960708,0.8591687962733554,568.8885414107327,0.0,0.0,0.0,379.41079304511027,6.55373214437436,47.252077163272794,0.006578106404998503,1.0609082473031883,0.37037092134347743,0.0,0.0,0.0
2019,185.55803897726386,129.8509627337053,0.4951089300311713,563.7925550285729,0.0,0.0,0.0,258.3206971881949,9.31209328089347,298.17017689885273,0.017628403419890658,0.715956584142251,0.2154801147617549,0.0,0.0,0.0
