year,runoff,drainage,erosion,ET,manure_applied,manure_N_applied,manure_P_applied,N_runoff,P_runoff,N_drainage,P_drainage,N_erosion,P_erosion,yield,N_yield,P_yield
,mm H2O,mm H2O,ton / ha,mm H2O,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
1993,1145.176096997788,2277.4399812016304,0.8818871064115907,1306.8543961072576,2308800.0,115440.0,138528.0,722.0503709375794,4303.669253689261,0.0,0.0,38.27926064268475,82.71025550335244,25750.994897829503,1073.8164869200061,51.54108338687187
1994,701.387750121556,1682.5578507059981,0.4479005348773119,1502.240701984418,0.0,0.0,0.0,295.32830261965853,4528.586383685732,0.0,0.0,16.69632619437936,42.579046002249434,28428.98959312817,1185.4888656500177,56.90405498122505
1995,607.8521986319975,1869.9517236858262,0.5340014369502374,1459.6092799887065,0.0,0.0,0.0,187.70335400191348,4440.012505922789,0.0,0.0,15.327161252764991,54.84837789314189,34266.18658465434,1428.8999792874392,68.6411590968637
1996,808.4519633157236,1172.6356909501749,0.7737932805004798,1342.4714304021813,20800.0,1040.0,1248.0,259.9129838288795,3361.15371774156,0.0,0.0,15.717018848006449,81.93906011747018,22614.46401352644,1062.8794332312702,31.767381670821564
1997,906.8254848270425,1639.306419771926,0.5385581070414258,1308.7960419343115,1664000.0,83200.0,99840.0,546.8750231642673,5085.860880676286,0.0,0.0,22.972245071923126,62.565316712424824,20918.860764829285,872.3164936390226,41.86899283271269
1998,904.4272713582494,1752.3402274890066,0.9140404389031744,1443.892713672744,0.0,0.0,0.0,363.6905537369114,4406.831020370305,0.0,0.0,28.012452142733967,112.36738873013346,29814.943441481715,1243.2831409430005,59.69063736031953
1999,866.6226474386912,1769.784150639245,0.7391212131253707,1409.7034505538188,1560000.0,78000.0,93600.0,286.9078860010042,6652.654837723304,0.0,0.0,34.70824460428391,108.81145959222681,22076.12078949254,920.574234941596,44.28226307784514
2000,1271.6971682251396,1882.5839999058649,1.7924783305425749,1354.0681278752131,20800.0,1040.0,1248.0,484.32088688403036,5678.17377506074,0.0,0.0,53.77060616846928,251.30758854089635,20808.51023776238,977.9998691169383,29.176045263184527
2001,1091.923213602714,2283.1229644528244,0.7711952965676738,1317.9827733267932,2371200.0,118560.0,142272.0,687.2859209693538,6719.753866795621,0.0,0.0,35.18322337061778,116.38877156136371,18390.46722870204,766.8824832139566,36.80835744794779
2002,587.0514574722307,1023.1698778088005,0.420941201140919,1469.3692261245483,0.0,0.0,0.0,143.2809477229702,6326.37391789562,0.0,0.0,19.03677627062173,70.17382985468466,22840.42475696392,952.4457120354625,45.71987927325496
2003,823.7027105029505,1485.843866237346,0.9976950239374444,1413.5983417482637,0.0,0.0,0.0,260.4283056892037,5681.640307861743,0.0,0.0,22.978051505341607,141.79062594037035,28592.0320712566,1192.2877334453356,57.39007491452309
2004,1068.2998339436926,1936.4672117942216,1.523290688325343,1438.1997491302782,20800.0,1040.0,1248.0,213.5241618684886,7283.69011349856,0.0,0.0,29.210749412209047,224.15750514793112,20237.92548824116,951.1821521634344,28.43098472025881
2005,735.1441816744889,1105.0755482951133,0.6564628688153469,1299.0785513497356,1809600.0,90480.0,108576.0,342.76001757045265,7115.844410890835,0.0,0.0,22.13602599847323,94.915048330535,20125.50522553738,839.2335675322558,40.291568431694856
2006,963.2102039596954,1997.1190077455149,0.9673028259237196,1519.5133827737827,1955200.0,97760.0,117312.0,313.99719132671703,7989.0269264897515,0.0,0.0,43.47227678431266,154.60180000557497,17242.656118405088,719.0187599030596,34.51343149604539
2007,1284.3736173438276,1844.0980019438748,1.839816465951531,1455.1875442491996,0.0,0.0,0.0,265.3398508732092,9783.007639326079,0.0,0.0,46.28135137954509,248.86017631239704,27169.428038530234,1132.9651487989627,54.38634976127715
2008,1850.757499224806,1641.5468207470221,3.8976410260920553,1372.6008647178253,20800.0,1040.0,1248.0,244.5389109647015,9299.103717157102,0.0,0.0,75.19612985768408,592.8248464483654,20325.1431638113,955.2814930731842,28.52958840590838
2009,1070.2844311555145,1605.727119306531,1.3874710908248518,1309.5841399039423,873600.0,43680.0,52416.0,447.22303566591614,7655.027884771635,0.0,0.0,25.84451050683157,160.32372373166316,20529.93621417031,856.0983398741546,41.09123847708077
2010,1174.3400929500458,1765.5376374984648,1.9817272444032379,1541.1990983976616,200000.0,10000.0,12000.0,235.8612153679929,9173.182623652407,0.0,0.0,25.83136224420595,208.7453462974485,24522.37996869815,1022.5832442395405,49.09396815821799
2011,633.7211532006653,1290.4841373852898,1.3981461166004434,1454.0349225071236,1780800.0,89040.0,106848.0,143.60333564891235,9067.170965029578,0.0,0.0,31.99998972855204,165.17637788249377,17687.546731482347,737.5706943101072,35.57370789359994
2012,576.8848701188887,972.1176540303422,1.0041087477054196,1345.889868768687,220800.0,11040.0,13248.0,127.0602980762774,7166.3420154924615,0.0,0.0,16.331730179994445,96.6545275731414,15335.672000145893,720.7765495145081,21.48755456475304
2013,1023.8571964497536,1753.008677363328,1.9972128699994087,1392.7491791637594,2529600.0,126480.0,151776.0,376.1269124272393,13206.695398769672,0.0,0.0,38.44097631589023,174.14719262241633,16209.157957538951,675.9218866334218,32.442430767033386
2014,867.2804018383302,1366.3831741765252,2.5418601288576705,1473.3453110755909,200000.0,10000.0,12000.0,182.95006498666015,12183.823440974256,0.0,0.0,42.37422068526076,249.40040033937635,21316.785896983263,888.9099716279363,42.66705616423668
2015,1000.0082096345591,1657.0221955316554,3.6263514751533052,1431.7368398753968,200000.0,10000.0,12000.0,168.45640951999553,9691.158412610983,0.0,0.0,42.44446165658647,331.9766149674022,24688.66586304137,1029.517365669213,49.449878534854676
2016,978.3324303504912,2043.8414130576627,3.4306015753057704,1473.6669405174014,220800.0,11040.0,13248.0,134.45524631883575,11090.852120145462,0.0,0.0,25.56502048832283,233.99649679144358,18640.87727344331,876.1211992291259,26.115204114395322
2017,644.1164125343773,1632.4517870647976,1.8353640830726259,1432.8316665841314,1019200.0,50960.0,61152.0,247.7300451887967,10796.039304838749,0.0,0.0,15.081782230623856,113.66726013322855,20300.260748645516,846.5208717994755,40.698884594159146
2018,1302.8665029357985,2093.807707604958,5.2135510347842535,1388.8118069347302,1227200.0,61360.0,73632.0,243.84645204998893,15620.43926886945,0.0,0.0,52.060997218570755,394.9566696885173,17815.923872011022,742.9240245509735,35.70274141487312
2019,1424.193162555858,2055.3621569551215,5.447229368178542,1440.2450901989218,1664000.0,83200.0,99840.0,188.67410219154883,17660.161068653764,0.0,0.0,59.90576694167074,441.3342791109325,17845.410172007458,744.1535986426323,35.91472744094815
