year,manure_N_applied,NO3_runoff,NH4_runoff,NH4_erosion,active_N_erosion,stable_N_erosion,fresh_N_erosion,NO3_drainage,NH4_drainage,active_N_drainage,NO3_L1,NO3_L2,NO3_L3,NH4_L1,NH4_L2,NH4_L3,active_N_L1,active_N_L2,active_N_L3,stable_N_L1,stable_N_L2,stable_N_L3,fresh_N,org_N_L1,org_N_L2,org_N_L3,profile_N
,kg,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg,kg/ha,kg/ha,kg/ha,kg
1990,20.0,6.417647747802282e-05,0.010757537989275387,1.088419117044467e-06,0.0007365676369963661,0.007104877859731636,7.773248715560593e-05,0.047875230314440714,0.013287404615412822,0.09106750439903381,0.001829269480612971,0.02822119784979267,0.005822779564568201,0.01711671961140656,0.00939390742214177,0.0012391753900887392,11.168955349078354,2.150796252152729,0.32856134608216586,33.346646581573324,90.66020314455943,17.044701358205714,1.284926347662669,8.571428571428555,8.571428571428555,8.571428571428555,35.71196202846983
1991,0.0,0.02278964041802866,0.42173201572196245,5.943592901833275e-05,0.0018276554484103684,0.003684246247995383,0.0031600091548582687,0.007868799845402603,0.44142159356189004,0.10472703837332013,0.2584984858108548,0.05573989522936886,0.002988290653130073,1.1642436570825105,0.5039812402568746,0.06736936245883562,17.8522581959115,3.5348747507595686,0.3645778984063372,36.710787343815284,90.83252525938208,17.043722640889698,32.942394918707336,8.571428571428555,8.571428571428555,8.571428571428555,69.41235537115989
1992,40.0,0.004951026137770616,0.7321657828250748,0.0001211680499076884,0.005089580189834099,0.00534076596821305,0.005218932057965595,0.02189771131877071,1.4000180126707134,0.09476219020534944,0.4964532854650176,0.07569300964561886,0.008541869693268202,2.3632723489680316,1.4789176312678094,0.2217321245607934,27.92746513362982,5.4021263696877515,0.4480288077452455,40.92051112523877,91.29296225555578,17.053626670615948,42.8188317111926,8.571428571428555,8.571428571428555,8.571428571428555,82.31359751318135
1993,0.0,0.21433064594809983,5.0898827108474975,0.0008437720879996105,0.009067050007303136,0.005874733048137354,0.022023390118467583,0.6976552312303248,10.402408873400656,0.13334550360813602,4.228551194808034,4.108210846091398,0.3697910157325683,7.900431042969438,5.09394518232044,0.7729092921982361,87.58877527767346,11.930609017481041,0.6888035531061792,54.86037253638402,92.3586930807279,17.087884220234766,187.5222068286907,8.571428571428555,8.571428571428555,8.571428571428555,247.173713857457
1994,20.0,4.6214740909237015,12.496163219110803,0.0014565056346988359,0.010098300565899684,0.0025721548193873237,0.022412726060539408,72.3174530072711,24.359290901995916,0.11500634524226983,74.52399962276495,305.64002856810146,44.78984371660766,49.4466188902108,21.96729193167173,2.8912612991934634,281.19745316389776,29.488480712251974,1.1816403622269025,82.18075302157192,95.2736447986941,17.18379451767394,749.7442810712957,8.571428571428555,8.571428571428555,8.571428571428555,1347.047453073039
1995,0.0,0.24824454067455726,4.1794942322290005,0.00041918513075215886,0.017708635960523186,0.007204228341131648,0.0061794961866757795,299.9504226070521,25.184218506556185,0.13271656255983338,10.408268019987078,322.3274143537739,74.27642328553794,12.266362734395573,18.731097971779405,3.0200802723775806,403.1911797416531,69.25181213475507,2.664579593535591,152.5431504350168,103.72076329577041,17.444556318777853,184.31041656366577,8.571428571428555,8.571428571428555,8.571428571428555,921.2971797661901
1996,20.0,0.012693837162208916,1.7531423829795072,0.00018941926226193618,0.022014023722448785,0.014393162677616263,0.0032103194712122182,84.8534891440456,4.338045406575121,0.10805840442079076,0.4642771759669802,42.359759754364966,11.091181014168427,2.1333265107090584,3.087009201011983,0.5294923189509345,338.2670651650941,93.03914720093663,4.492688696028633,219.19141226894104,118.34524178869785,18.033847794571017,45.322886132424664,8.571428571428555,8.571428571428555,8.571428571428555,254.65785625201443
1997,20.0,0.6564834001564896,4.115491585416177,0.0007588029380264896,0.02590582809086764,0.022684762227170252,0.021457643090846478,0.7244711191827359,5.885128410034529,0.17195619055164654,5.145502855981089,4.334536383577633,0.3999033551367775,11.465895728268528,5.345617480904371,0.6945952235588276,313.5453866801766,103.57564367185377,6.055381284361061,277.7392093536925,135.4344888560684,18.90246104355927,217.39968661860271,8.571428571428555,8.571428571428555,8.571428571428555,281.35447031072925
1998,0.0,9.094218841055564,17.528454330443285,0.0021261160064495925,0.03254383345279325,0.023847843216407944,0.06950740671557928,44.83957947328765,16.863154957145706,0.25309220914321473,143.7273171331428,403.89572208064203,51.80143130270317,47.20223064392398,20.23854120167244,2.5702767086935454,498.4767018285981,124.08728523931475,8.047389212529035,344.69081526586405,154.9119186568578,20.08589368318185,795.4663278066988,8.571428571428555,8.571428571428555,8.571428571428555,1555.707789144001
1999,0.0,2.176394962612931,8.139046974531846,0.0007838913023991155,0.038817136280744055,0.028356942108782316,0.013133088659965509,352.9590422418918,14.667751855178803,0.31345110378233876,15.43092444875754,484.02563501353654,103.67455037038613,8.912299815389783,10.79327157477149,1.560770446855943,560.4316410008022,161.78843324787482,10.575284281207496,446.9553018943522,179.84722489508616,21.66506679908378,113.34733701145085,8.571428571428555,8.571428571428555,8.571428571428555,1081.1360733033964
2000,20.0,0.014248953619526964,1.4722202948701886,0.00017402777658831828,0.04290115832020465,0.05291261386041617,0.005448297620921384,203.89019981963403,3.3899309272585114,0.4377408204295761,0.2277155520515922,60.801603864427136,18.898308351022102,1.9702057658442416,2.092819375927338,0.290512943582165,433.88530701596676,182.5021573692807,13.296278101714039,534.6461679347948,210.28621645797284,23.708334190974597,48.20811504110944,8.571428571428555,8.571428571428555,8.571428571428555,323.71760683094743
2001,20.0,0.4867867545133747,4.893718279660935,0.0009045349448440113,0.03275239090871735,0.052721322692923366,0.014019554669807439,1.9016487910884237,7.231357915603843,0.6872940286119833,5.514850371615961,9.49319310218054,1.0376332509171635,9.354578110726214,5.512325080272287,0.7767050858249003,370.3615110572192,191.68283113423826,16.08565879572272,605.2766488760241,243.09720430767445,26.2525791553942,218.87570403045837,8.571428571428555,8.571428571428555,8.571428571428555,287.5031733848699
2002,0.0,2.247361344549687,11.913853287887932,0.0011369322815700722,0.01416213841952405,0.022378880415858136,0.03669112143289887,16.9883603758013,10.22662889101606,0.3970451846727522,212.56356539528582,311.7106947752704,31.383767359167386,43.97619105552483,23.18087016953255,3.0580713924611023,511.49777524062966,196.93950581264312,17.698354986625777,677.4624652087059,277.0591817507808,29.238838233794386,764.4769149146802,8.571428571428555,8.571428571428555,8.571428571428555,1455.9397442231127
2003,0.0,1.0598267668422638,7.0925388218579215,0.0009447857985737549,0.038727846942626175,0.05240057548316626,0.0279196419198533,274.2291191968366,18.796906120923413,0.6340926764749953,57.41827097709856,589.5867609274867,110.42089584236564,19.871889959404424,15.850986311820536,2.3768663904230087,602.6702274134905,206.33486082679158,17.801378593313952,781.2335096426007,311.78244788017196,32.2733204989273,365.1029636071481,8.571428571428555,8.571428571428555,8.571428571428555,1423.1050094002437
2004,40.0,15.074700726513356,49.624234357084255,0.007217605170425065,0.1190070690453266,0.12585081102985937,0.13632608108404734,475.3064821469817,93.48434577850811,1.0454885533426077,273.9255057480444,852.4352651341277,122.05401621322696,52.94362888380592,32.13102273598472,5.156035873775375,786.0923244460815,243.87629608320617,21.161691644062962,892.733479700751,350.3403710982447,35.5909391863101,1230.6692292261425,8.571428571428555,8.571428571428555,8.571428571428555,2961.8122388981087
2005,9000.0,6.378307422108609,5.06888003022671,0.001472774880850574,1.5859446082066901,0.6215177270096072,0.027531866409963978,621.0252744730949,10.814226845147193,0.6547491728973721,95.71522897138969,1483.716904312152,268.45751983920127,12.052843669767563,16.236134940833594,2.641647589792257,1985.2094174698548,286.59983893072007,22.920166865460782,1228.5372384304158,396.4062491578159,39.46336150788035,164.17399804146038,8.571428571428555,8.571428571428555,8.571428571428555,2786.117658569164
2006,0.0,1.8992264254420097,1.988305296695029,0.0017919979752565344,4.016978965946298,1.7095463214274285,0.0033172911652805466,1161.8355253077873,4.166113940292571,1.260609244760164,19.159487472463777,836.5490332567724,177.19121150481976,3.5527489127876604,3.766243470993893,0.5426757568819304,7156.2940051478445,795.4428536972664,35.11793186176634,3125.6465293556016,479.13050669816295,44.02853342906527,6.20875937447887,8.571428571428555,8.571428571428555,8.571428571428555,1913.5333905236657
2007,0.0,1.2319463614208153,2.4941825987354767,0.0020924379192006196,4.2397021910070345,3.6652369664964204,0.00011760181182357538,755.3230666120767,5.948565851774467,1.8729176795951663,9.84872193500268,377.2770461761431,81.68996611784881,2.97058222026209,4.79352979381615,0.72757490336104,5125.241895497857,1347.2832509681602,69.938274536637,4197.5030909230245,675.4459924463998,52.98472746123803,0.22342800271276625,8.571428571428555,8.571428571428555,8.571428571428555,1072.85681341691
2008,16000.0,0.6125469707396588,2.5751127527976463,0.002086750719926324,6.016136720830035,6.56628856490126,1.4938956887790469e-05,389.47142203007024,8.06659186361443,2.7850651425096804,9.086385513722071,174.84896495723956,36.96533773419568,2.429174694489247,4.367711416934058,0.6847341389095423,5788.771872640246,1612.7577955910483,110.79302264037922,5293.498428615463,941.761454801422,69.11009366029107,0.008613072105156614,8.571428571428555,8.571428571428555,8.571428571428555,557.2425573646377
2009,32000.0,1.872531252786881,5.634894066211296,0.005503794920504682,15.822322335041369,7.8854767102171754,5.337243983372637e-07,195.60655961010437,9.8093107220689,3.3694791903531014,34.54620089270808,162.47843478976324,27.980405761123507,7.552908794092561,8.232298534184107,1.2490428382589132,17935.411822974525,2341.3659734323523,142.3783249892419,9532.201264493391,1276.3888931960812,91.40351334534932,0.0005036862010135817,8.571428571428555,8.571428571428555,8.571428571428555,454.0859543262794
2010,0.0,8.404879108545328,11.45611878904622,0.01237351473572262,28.580043311385296,15.998021895189519,1.6026480801747636e-08,242.61580932634004,17.870063165449444,5.7884800043413245,63.1476571083981,358.18060294691645,59.71989439774863,19.28440609254327,17.039554614071726,2.3126500755008896,33474.741252246706,4848.2575656883555,236.97749251911233,17946.875700045344,1871.4101000520168,122.7156060660957,3.185982312865591e-05,8.571428571428555,8.571428571428555,8.571428571428555,744.1740569807481
2011,0.0,3.536534532363029,7.250265768466201,0.007155444281034777,11.733296867363869,11.591355843419025,3.4670994102161777e-10,300.037908625633,23.471064701142765,6.311331881430311,94.05608001013768,567.2319957267291,97.2618066657292,15.723510975224636,24.606799773969914,3.6029929804423455,24458.68037221287,6764.903156360621,370.0985149717129,22967.242859714166,2949.1470272540428,177.6076212777526,8.304294357098367e-07,8.571428571428555,8.571428571428555,8.571428571428555,1146.235826710495
2012,8.0,3.626577734592459,4.825132892899733,0.0038220214984421227,6.375786483303887,9.3277828481283,8.132994723984018e-12,320.9355806440087,9.151515063296207,6.246038411130045,78.8134110932945,699.8477536463972,124.7627200364204,12.28156936093478,19.535536907562975,2.7775638939068377,18492.11410865335,6983.380263747571,443.47312759883573,26675.2634644217,4185.274261306717,250.7677264469668,2.6680852387277362e-08,8.571428571428555,8.571428571428555,8.571428571428555,1389.5387000024896
2013,12000.0,2.7229723515394872,4.462165988319532,0.00369661720311871,9.916037982250558,19.776743061071617,9.645326409931129e-13,602.021835465545,27.968432672191742,13.61812267212612,43.95343157727228,588.1586335302106,113.59920433026267,7.763058896744704,17.256215189789884,2.7507098566312465,14937.369018437264,7014.366542012544,532.1444039972207,29620.36336244147,5415.720467288464,335.9297684313708,9.856132005171213e-10,8.571428571428555,8.571428571428555,8.571428571428555,1294.6196516153605
2014,0.0,2.749198014052082,5.956132011135059,0.0063585697347683014,13.151300192374949,23.34985418068666,3.2407061708456664e-14,453.7375136056286,25.615814513684604,15.088819988666732,53.73164004451566,475.15244934121125,88.3641304439511,10.584486241668666,18.096664849933894,2.8498743357231815,18981.932998762146,7266.179047379168,609.4313763488692,33965.308627207,6665.179862666763,437.3083800914512,4.098765463939118e-11,8.571428571428555,8.571428571428555,8.571428571428555,1120.1406936209603
2015,0.0,3.059455255963579,5.698006556698029,0.006085721951287274,9.80693551570063,26.389648655344963,8.68432660647999e-16,506.3384751567098,25.71337218368942,22.066135932962265,43.568587555459544,481.85003443318135,89.86883514014492,9.43787079697654,18.85334556644329,2.9943724052639835,14194.140678878111,7255.5834990675285,650.7955258810716,36757.91619698776,7946.611045736595,548.444786334268,1.677074197708188e-12,8.571428571428555,8.571428571428555,8.571428571428555,1083.4498307198426
2016,7105.0,1.8669198770271427,3.725174266965864,0.0038624929376976586,7.5107605567767175,26.133890782342863,1.931107325455725e-17,517.1255319986624,20.00128284963653,30.695650570184757,18.234408235619966,374.33045358387153,76.10343527880043,6.076615902963456,15.043886180829992,2.461354856777739,11699.225592850693,7138.617294838439,717.241753610789,39011.27635070963,9207.790525078,668.8267000564225,5.759289869191619e-14,8.571428571428555,8.571428571428555,8.571428571428555,898.3720255208876
2017,14000.0,1.1214653438195183,2.4959711069560058,0.0021614366729998118,5.328336753339386,16.77541141444113,5.355743047386534e-19,334.1545844693802,21.214329992468876,28.608721980507188,36.875495971147195,302.03226101172874,56.21938767478373,7.7750492848022486,15.737562071056965,2.538068040179529,13943.429632724783,7115.369074451458,758.2972457478021,42021.57794823801,10448.410647603832,799.357198535546,1.1683159947078818e-15,8.571428571428555,8.571428571428555,8.571428571428555,756.3803375944706
2018,0.0,5.084615593502,7.968811433325438,0.007370342623315275,18.245321924632165,43.91231600777034,3.314609037289043e-20,422.82439856145606,27.231845995972492,41.18310387286893,41.36754678564397,383.2788880284665,69.8611935029763,8.969965509718971,17.654125499531183,2.875307569151406,19382.927428136747,7337.363709170429,760.7179189976731,46506.57901027218,11678.212257257233,930.7511896205472,3.6677793492554204e-17,8.571428571428555,8.571428571428555,8.571428571428555,849.4842112800123
2019,0.0,2.118542904429719,6.534131880169798,0.005588596768981545,12.028652436242261,44.97628763338283,6.077253345139922e-22,443.96974514690555,32.71514972187759,46.40172631748954,21.49134235172597,342.63066743124443,67.08656286090546,6.261393693141501,17.61359847731005,3.0215039674031936,13792.470777587023,7922.326073929686,823.8367920337764,49223.783682804016,13015.997082095108,1069.1856874931025,1.028965511299226e-18,8.571428571428555,8.571428571428555,8.571428571428555,807.1237529509381
