year,j_day,num_animals,manure,U,TAN_s,MN,Mkg,VSd,VSnd,WIP_frac,WOP_frac,p_excrt_manure,p_frac
,,,g,g,g,g,g,g,g,g,g,g,g
2010,12,1408,45667.731906845205,65.8681159756717,36.38985298559048,110382.87169161133,18752.586438754675,1985517.8601213787,237381.7381231026,0.31658496591265917,0.03165849659126593,45667.731906845205,0.6331699318253183
2010,19,1410,45678.94180801342,66.32728379963835,36.45458362457107,110681.69531882438,18740.365638754683,1985517.8601213787,237381.7381231026,0.3168695942070854,0.031686959420708524,45678.94180801342,0.6337391884141708
2010,26,1410,45355.74684588846,66.1517135235562,36.21644639056582,110044.14318748501,18587.671739225843,1970244.6458127527,235555.7247529249,0.31477104563657393,0.031477104563657404,45355.74684588846,0.6295420912731479
2010,33,1411,45727.16749483026,67.02457411197248,36.541277862090695,111127.35359708342,18722.57023875458,1985517.8601213787,237381.7381231026,0.31750279537806675,0.031750279537806674,45727.16749483026,0.6350055907561335
2010,40,1412,45566.31240699885,67.20669140300664,36.45570368265375,110982.57205391036,18639.19518899017,1977881.2529670657,236468.73143801375,0.3165800111710293,0.03165800111710294,45566.31240699885,0.6331600223420586
2010,47,1416,45738.0170485859,67.76032377212535,36.63091931232948,111603.3527685086,18703.25293875463,1985517.8601213787,237381.7381231026,0.3179085234506287,0.031790852345062875,45738.0170485859,0.6358170469012574
2010,54,1419,45385.63072725627,67.65618559887452,36.39719206980814,111016.20491482767,18548.29043922578,1970244.6458127527,235555.7247529249,0.3156490474798905,0.03156490474798902,45385.63072725627,0.631298094959781
2010,61,1422,45797.730235632574,68.59933602196217,36.725485430099916,112146.54453493626,18681.18823875471,1985517.8601213787,237381.7381231026,0.3186988248354948,0.03186988248354947,45797.730235632574,0.6373976496709896
2010,68,1423,45654.165166832514,68.70959631951891,36.619764020476936,111956.79274432274,18599.55738899029,1977881.2529670657,236468.73143801375,0.31786780888095295,0.0317867808880953,45654.165166832514,0.6357356177619059
2010,75,1423,45872.83551198324,69.26292091966795,36.78774833456584,112576.79211285338,18663.67783875475,1985517.8601213787,237381.7381231026,0.31952178517267,0.031952178517267026,45872.83551198324,0.63904357034534
2010,82,1423,45538.70650016186,69.10466343008989,36.539223917540724,111953.19030551042,18510.271439225897,1970244.6458127527,235555.7247529249,0.31736455816486253,0.031736455816486236,45538.70650016186,0.6347291163297251
2010,89,1425,45742.82755716519,69.70698189712992,36.70699827466362,112604.42031875734,18573.149288990215,1977881.2529670657,236468.73143801375,0.31893981030412594,0.031893981030412626,45742.82755716519,0.6378796206082519
2010,96,1426,45624.72238263346,69.7286418721987,36.584171963239164,112355.0455813579,18494.060639225754,1970244.6458127527,235555.7247529249,0.3182419531188058,0.031824195311880604,45624.72238263346,0.6364839062376116
2010,103,1427,45849.190001472685,70.41085615253131,36.76124940133622,113059.48294514828,18554.69838899024,1977881.2529670657,236468.73143801375,0.3199989647277611,0.03199989647277612,45849.190001472685,0.6399979294555223
2010,110,1428,45877.67418085714,70.59078561109597,36.76404221431652,113171.95314623934,18550.34358899018,1977881.2529670657,236468.73143801375,0.32027340608870675,0.032027340608870684,45877.67418085714,0.6405468121774135
2010,117,1431,46070.84632026851,71.34451155351185,36.94656083592325,113925.24420986262,18608.860938754664,1985517.8601213787,237381.7381231026,0.3218502939277345,0.032185029392773463,46070.84632026851,0.643700587855469
2010,124,1433,45939.44527046885,71.51495541944375,36.8393922231686,113771.55973434281,18525.919088990235,1977881.2529670657,236468.73143801375,0.3211295382283664,0.03211295382283662,45939.44527046885,0.6422590764567327
2010,131,1435,45950.6907145023,71.75071457341221,36.85055595143115,113922.44847789546,18519.882788990275,1977881.2529670657,236468.73143801375,0.321315366965698,0.03213153669656979,45950.6907145023,0.642630733931396
2010,138,1436,45824.01460673679,71.96137064657928,36.73759810445551,113801.93573029073,18435.213839225697,1970244.6458127527,235555.7247529249,0.3206580108120765,0.032065801081207636,45824.01460673679,0.641316021624153
2010,145,1439,45857.20167371977,72.42760273262358,36.76876554862984,114101.59045696471,18423.15833922573,1970244.6458127527,235555.7247529249,0.3211009111241099,0.03211009111241097,45857.20167371977,0.6422018222482198
2010,152,1440,47866.24438978651,76.04097133075054,38.36318921546559,119300.74710014155,19195.367086634575,2054247.3245101958,245598.7982889023,0.33540008580077446,0.03354000858007745,47866.24438978651,0.6708001716015489
2010,159,1440,49344.21860211615,78.54331715791575,39.49533238639898,122992.46729656488,19761.04428475015,2115340.1817447,252902.85176961313,0.3458472994446336,0.03458472994446333,49344.21860211615,0.6916945988892672
2010,166,1441,48849.84013664737,78.2410549742241,39.213631177291745,122274.99034614282,19611.48538522131,2100066.967436074,251076.83839943542,0.34250181920835676,0.03425018192083571,48849.84013664737,0.6850036384167135
2010,173,1444,48706.91769987148,78.44599499249372,39.20189901076205,122393.29963002696,19607.44408522134,2100066.967436074,251076.83839943542,0.34157085594039316,0.034157085594039266,48706.91769987148,0.6831417118807863
2010,180,1445,47167.58834019457,76.3286208654569,37.933014416019745,118681.99745393069,18953.632337341383,2031337.5030472567,242859.77823363573,0.33098826956765337,0.033098826956765345,47167.58834019457,0.6619765391353067
2010,187,1445,36944.168126214776,59.96155573382902,29.67482988784048,92989.34466129307,14813.000151003796,1588414.2880971022,189905.3904984822,0.259387556365469,0.02593875563654691,36944.168126214776,0.518775112730938
2010,194,1445,6594.7737330106165,10.750361295344842,5.279732142381315,16598.386301484585,2632.553341284319,282554.4647095794,33781.24734828785,0.04634527839843378,0.0046345278398433765,6594.7737330106165,0.09269055679686757
2010,201,1445,35215.40139425519,56.98219300673029,28.09431462708734,88224.09951045392,14021.918703594862,1504411.609399659,179862.3169625048,0.24739165470380503,0.024739165470380506,35215.40139425519,0.49478330940761006
