year,j_day,actual,calculated,difference,delta,P_drainage,P_runoff,P_erosion,P_uptake
,,kg,kg,kg,kg,kg,kg,kg,kg
2009,321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,324,0.0,1.1368683772161603e-13,-1.1368683772161603e-13,1.1368683772161603e-13,0.0,0.0,0.0,0.0
2009,325,0.0,-1.1368683772161603e-13,1.1368683772161603e-13,-1.1368683772161603e-13,0.0,0.0,0.0,0.0
2009,326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,330,0.0,0.011837003171303203,-0.011837003171303203,-0.008952338635481283,0.0,0.01270774746722109,0.008081594339563396,0.0
2009,331,0.0,-1.1368683772161603e-13,1.1368683772161603e-13,-1.1368683772161603e-13,0.0,0.0,0.0,0.0
2009,332,0.0,-7.013270172939734e-15,7.013270172939734e-15,-0.0005885659696787116,0.0005885659696716983,0.0,0.0,0.0
2009,333,0.0,1.9155271986648348e-13,-1.9155271986648348e-13,-0.0018042960837192368,0.0018042960839107895,0.0,0.0,0.0
2009,334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,335,0.0,-1.1368683772161603e-13,1.1368683772161603e-13,-1.1368683772161603e-13,0.0,0.0,0.0,0.0
2009,336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,337,0.0,1.1368683772161603e-13,-1.1368683772161603e-13,1.1368683772161603e-13,0.0,0.0,0.0,0.0
2009,338,0.0,0.011836208100714913,-0.011836208100714913,-0.002569603769757123,0.0,0.012110563452240644,0.0022952484182313924,0.0
2009,339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,340,0.0,-1.1368683772161603e-13,1.1368683772161603e-13,-1.1368683772161603e-13,0.0,0.0,0.0,0.0
2009,341,0.0,0.011836134988720111,-0.011836134988720111,-0.0026733084969237098,0.0,0.012120719984069201,0.002388723501574619,0.0
2009,342,0.0,0.01183607152498959,-0.01183607152498959,-0.00023769436324982962,0.0,0.01186633315171499,0.00020743273652442995,0.0
2009,343,0.0,0.011820493265685565,-0.011820493265685565,-0.2040380485791502,0.0,0.027481461590408922,0.18837708025442684,0.0
2009,344,0.0,0.011831698679048036,-0.011831698679048036,-0.0033907042952705524,0.0001305016503115575,0.012173647964431,0.002918253359576032,0.0
2009,345,0.0,3.6225362987085674e-14,-3.6225362987085674e-14,-0.00013059974412499287,0.00013059974416121823,0.0,0.0,0.0
2009,346,0.0,-1.6576367015130877e-15,1.6576367015130877e-15,-0.0005228875240845809,0.0005228875240829233,0.0,0.0,0.0
2009,347,0.0,0.011831606309645321,-0.011831606309645321,-0.00045990892704139696,0.00021111412627282242,0.011863174900348768,0.00021722621006512734,0.0
2009,348,0.0,1.1368683772161603e-13,-1.1368683772161603e-13,1.1368683772161603e-13,0.0,0.0,0.0,0.0
2009,349,0.0,0.0118312680904585,-0.0118312680904585,-0.009606255298422184,0.0,0.012760209728142832,0.008677313660737852,0.0
2009,350,0.0,-1.504934957034798e-14,1.504934957034798e-14,-0.00011898056641257426,0.00011898056639752491,0.0,0.0,0.0
2009,351,0.0,1.2469834735108487e-13,-1.2469834735108487e-13,-6.278759008182533e-05,6.278759020652368e-05,0.0,0.0,0.0
2009,352,0.0,3.272078788474353e-14,-3.272078788474353e-14,-0.0002847975288204907,0.0002847975288532115,0.0,0.0,0.0
2009,353,0.0,-1.1368683772161603e-13,1.1368683772161603e-13,-1.1368683772161603e-13,0.0,0.0,0.0,0.0
2009,354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,355,0.0,-1.1368683772161603e-13,1.1368683772161603e-13,-1.1368683772161603e-13,0.0,0.0,0.0,0.0
2009,356,0.0,0.011830944963353657,-0.011830944963353657,-0.00230162817456403,0.0,0.012726067890178647,0.0014065052477390395,0.0
2009,357,0.0,0.011830618487545371,-0.011830618487545371,-0.0024025057199423827,0.0,0.012762866785422999,0.0014702574220647555,0.0
2009,358,0.0,0.011826481783406336,-0.011826481783406336,-0.044008485672407005,0.0,0.02640127896291955,0.02943368849289379,0.0
2009,359,0.0,0.011821677790860716,-0.011821677790860716,-0.05329210979198251,0.0002090609792929068,0.029222645774633207,0.03568208082891711,0.0
2009,360,0.0,0.011821451476375812,-0.011821451476375812,-0.0048222116759006894,0.0002887996825703823,0.013521731367044756,0.0028331321026613637,0.0
2009,361,0.0,0.011821322553432757,-0.011821322553432757,-0.0006310865652494613,0.0005096680232143748,0.011875982343178621,6.67587522892226e-05,0.0
2009,362,0.0,-1.1492776131813431e-13,1.1492776131813431e-13,-0.00048696050225771614,0.0004869605021427884,0.0,0.0,0.0
2009,363,0.0,2.0717802473591007e-14,-2.0717802473591007e-14,-0.00028495872686562507,0.00028495872688634287,0.0,0.0,0.0
2009,364,0.0,3.989807074132601e-14,-3.989807074132601e-14,-0.00013421450307760097,0.00013421450311749904,0.0,0.0,0.0
2009,365,0.0,0.011821222222267449,-0.011821222222267449,-0.0004125061404920416,0.0,0.01199624687429064,0.00023748148846884943,0.0
2010,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,2,300.0,251.6488690789472,48.3511309210528,251.6488690789472,0.0,0.0,0.0,0.0
2010,3,300.0,270.3157023289475,29.68429767105249,270.3155592533235,0.0001430756240245792,0.0,0.0,0.0
2010,4,300.0,279.0275134067226,20.97248659327738,279.0275134067226,0.0,0.0,0.0,0.0
2010,5,300.0,283.0933156367198,16.906684363280192,283.0933156367198,0.0,0.0,0.0,0.0
2010,6,300.0,284.99082553745984,15.009174462540159,284.99082553745984,0.0,0.0,0.0,0.0
2010,7,300.0,579.372152127501,-279.37215212750095,428.94623102263404,143.12216012511243,7.29905522821341,0.004705751541136638,0.0
