year,j_day,flush_water_volume,TS,VS,N,P,K,TS_liquid,VS_liquid,N_liquid,P_liquid,K_liquid,TS_DM_effluent,WIP,WOP,CH4
,,liters,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
2009,261,1608807.0081974664,7722.273639347838,15042.345526646313,18662.192378580978,1143.9587913082557,2176.2246040248665,22523.298114764533,12307.373612710617,43545.11555002229,1715.9381869623837,12331.939422807582,1930.5684098369595,2235.571956526966,223.55719565269652,383850.7091657997
2009,262,1608803.3088974664,7722.255882707837,15042.310938191313,18666.273517937363,1143.9686492324122,2175.1373955244926,22523.246324564534,12307.345313065616,43554.63820852051,1715.952973848618,12325.77857463879,1930.5639706769596,2235.5983302591903,223.55983302591912,383850.7091657997
2009,263,1608799.6095974664,7722.23812606784,15042.276349736314,18670.36047955719,1143.9788240144444,2181.4351009677775,22523.194534364527,12307.317013420618,43564.174452300125,1715.9682360216666,12361.465572150733,1930.5595315169603,2235.625048650135,223.5625048650133,383850.7091657997
2009,264,1608795.9102974664,7722.2203694278405,15042.241761281311,18674.453087561167,1143.989306082689,2175.3680616386137,22523.14274416453,12307.288713775615,43573.72387097606,1715.9839591240334,12327.085682618816,1930.5550923569601,2235.652100162063,223.56521001620638,383850.7091657997
2009,265,1608908.9558224117,7722.762987947577,15043.298736939554,19178.279088744224,1098.7035114876385,2247.9057332611937,22524.725381513766,12308.15351204145,44749.31787373654,1648.0552672314575,12738.132488480098,1930.6907469868945,2208.060889512902,220.80608895129026,384911.0996388696
2009,266,1608905.2565224117,7722.745231307577,15043.264148484552,19182.404397958257,1156.973808413572,2243.807434894088,22524.673591313767,12308.125212396448,44758.943595235934,1735.4607126203578,12714.908797733171,1930.6863078268943,2249.1410820231936,224.91410820231934,384911.0996388696
2009,267,1608901.557222412,7722.727474667578,15043.229560029553,19186.535268183303,1156.986372779561,2237.406451858502,22524.621801113768,12308.096912751449,44768.58229242771,1735.4795591693414,12678.636560531511,1930.6818686668944,2249.1686222136705,224.91686222136724,384911.0996388696
2009,268,1608897.8579224118,7722.709718027577,15043.194971574552,19190.671523819612,1156.999230229156,2236.16145931527,22524.570010913765,12308.068613106449,44778.23355557909,1735.4988453437338,12671.581602786533,1930.6774295068944,2249.1964642291,224.91964642291,384911.0996388696
2009,269,1608894.1586224118,7722.691961387577,15043.160383119552,19194.812993145344,1157.012371416951,2238.7187382888224,22524.518220713766,12308.040313461448,44787.8969840058,1735.5185571254267,12686.072850303328,1930.6729903468943,2249.2245975297706,224.92245975297698,384911.0996388696
2009,270,1608890.459322412,7722.674204747576,15043.125794664551,19198.959508241678,1157.0257872045072,2225.556865884153,22524.466430513767,12308.012013816448,44797.57218589727,1735.5386808067606,12611.488906676874,1930.6685511868943,2249.25301181799,224.92530118179883,384911.0996388696
