year,j_day,calf_num,calf_percent,heiferI_num,heiferI_percent,heiferII_num,heiferII_percent,heiferIII_num,heiferIII_percent,cow_num,cow_percent,sold_heifer_num,bought_heifer_num,culled_heifer_num,culled_cow_num,cow_num_for_parity_1,cow_percent_for_parity_1,avg_age_for_parity_1,avg_age_for_calving_1,cow_num_for_parity_2,cow_percent_for_parity_2,avg_age_for_parity_2,avg_age_for_calving_2,cow_num_for_parity_3,cow_percent_for_parity_3,avg_age_for_parity_3,avg_age_for_calving_3,cow_num_for_parity_greater_than_3,cow_percent_for_parity_greater_than_3,avg_age_for_parity_greater_than_3,avg_age_for_calving_greater_than_3,culled for low production_num,culled for low production_percent,culled for lameness_num,culled for lameness_percent,culled for injury_num,culled for injury_percent,culled for mastitis_num,culled for mastitis_percent,culled for disease_num,culled for disease_percent,culled for udder_num,culled for udder_percent,culled for unknown_num,culled for unknown_percent,GnRH_injections,PGF_injections,ai_num,preg_check_num,sold_calf_num,cumulated_milk_production,open_cow_num,vwp_cow_num,non_preg_cow_percent,preg_cow_num,preg_cow_percent,milking_cow_num,milking_cow_percent,dry_cow_num,dry_cow_percent,average_days_in_milk,average_days_in_preg,average_cow_body_weight,average_parity_number,avg_caving_interval,avg_breeding_to_preg_time,avg_heifer_culling_age,avg_cow_culling_age,avg_mature_body_weight,avg_calving_to_preg_time_for_parity_1,avg_calving_to_preg_time_for_parity_2,avg_calving_to_preg_time_for_parity_3,avg_calving_to_preg_time_for_parity_greater_than_3
,,,%,,%,,%,,%,,%,,,,,,%,d,d,,%,d,d,,%,d,d,,%,d,d,,,,,,,,,,,,,,,,,,,,kg,,,%,,%,,%,,%,d,d,kg,,d,d,d,d,kg,d,d,d,d
2011,168,0,0.0,203,15.971675845790717,37,2.911093627065303,5,0.3933910306845004,1026,80.72383949645948,1,0,0,0,62,6.042884990253411,1714.516129032258,678.3064516129032,108,10.526315789473683,1686.5648148148148,1112.3333333333333,87,8.47953216374269,2053.988505747127,1532.4597701149426,769,74.95126705653021,1137.1261378413526,2125.2982456140344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1423,1232,711,1364,0,4412.920770895601,851,901,170.76023391812865,154,15.009746588693956,126,12.280701754385964,900,87.71929824561403,274.2460317460317,170.66233766233765,635.8735387651692,0.7699805068226131,434.54761904761904,140.26666666666668,0,0,743.3891579512224,0,124.43283582089552,134.86666666666662,121.65306122448979
2011,169,1,0.07874015748031496,198,15.590551181102363,40,3.149606299212598,5,0.39370078740157477,1026,80.78740157480316,1,0,0,0,62,6.042884990253411,1715.516129032258,678.3064516129032,108,10.526315789473683,1687.5648148148148,1112.3333333333333,87,8.47953216374269,2054.988505747127,1532.4597701149426,769,74.95126705653021,1138.1261378413526,2125.2982456140344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1423,1232,711,1365,0,4384.877504676836,851,902,170.85769980506822,154,15.009746588693956,125,12.183235867446394,901,87.8167641325536,275.0560000000001,171.66233766233765,635.9630463827937,0.7699805068226131,434.54761904761904,138.3,0,0,743.2318166669181,0,124.43283582089552,134.86666666666662,121.65306122448979
2011,170,1,0.07880220646178093,197,15.524034672970844,43,3.38849487785658,4,0.31520882584712373,1024,80.69345941686367,0,0,0,1,61,5.95703125,1714.3934426229507,675.1311475409836,107,10.44921875,1689.5514018691588,1110.364485981308,86,8.3984375,2059.0813953488373,1533.5581395348838,770,75.1953125,1139.9714285714263,2119.5172413793102,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,1418,1227,708,1358,0,4335.757754750197,851,901,171.09375,152,14.84375,125,12.20703125,899,87.79296875,273.976,171.9473684210526,635.7997651050702,0.769531250000001,433.76892430278883,134.5625,0,1583.0,743.5151461085487,0,125.10606060606061,135.7966101694915,120.82
2011,171,2,0.15723270440251574,197,15.487421383647797,44,3.459119496855346,4,0.3144654088050315,1025,80.58176100628931,0,0,0,0,62,6.048780487804878,1717.5,678.3064516129032,107,10.439024390243903,1690.5514018691588,1110.364485981308,86,8.390243902439025,2060.0813953488373,1533.5581395348838,770,75.1219512195122,1140.9714285714263,2119.5172413793102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1418,1227,709,1358,0,4331.242503607488,852,902,171.1219512195122,152,14.829268292682926,125,12.195121951219512,900,87.8048780487805,274.976,172.9473684210526,635.9931319821113,0.7697560975609746,433.76892430278883,134.5625,0,0,743.533179379881,0,125.10606060606061,135.7966101694915,120.82
2011,172,2,0.15760441292356187,196,15.445232466509061,43,3.38849487785658,5,0.3940110323089046,1023,80.6146572104019,0,0,0,1,62,6.0606060606060606,1718.5,678.3064516129032,106,10.361681329423265,1691.8207547169811,1108.245283018868,83,8.113391984359726,2070.6506024096384,1534.409638554217,772,75.46432062561095,1143.770725388601,2110.0833333333326,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1398,1211,699,1342,0,4293.000856409286,854,902,171.65200391006843,148,14.467253176930598,125,12.218963831867057,898,87.78103616813294,272.176,174.0337837837838,635.5921975273451,0.7683284457478015,432.3975903614458,134.8,0,1663.0,743.3501660033523,0,122.9076923076923,138.78571428571425,119.25000000000001
2011,173,4,0.3147128245476003,193,15.184893784421716,44,3.461841070023604,6,0.47206923682140045,1024,80.56648308418568,0,0,0,0,62,6.0546875,1719.5,678.3064516129032,105,10.25390625,1695.095238095238,1108.3523809523808,85,8.30078125,2060.2000000000007,1533.8705882352947,772,75.390625,1144.770725388601,2110.0833333333326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1408,1220,704,1353,0,4302.877572195061,855,904,171.77734375,148,14.453125,125,12.20703125,899,87.79296875,269.24,173.61486486486493,635.8057071225359,0.771484375000001,432.416,134.79999999999998,0,0,743.2470595861178,0,123.578125,136.75862068965512,119.25000000000001
2011,174,5,0.39370078740157477,191,15.039370078740157,45,3.543307086614173,7,0.5511811023622047,1022,80.47244094488188,1,0,0,1,62,6.066536203522505,1720.5,678.3064516129032,104,10.176125244618394,1698.048076923077,1108.038461538462,84,8.21917808219178,2063.440476190476,1533.988095238095,772,75.53816046966732,1145.770725388601,2110.0833333333326,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,1398,1211,699,1339,0,4294.761365894011,855,903,172.0156555772994,146,14.285714285714285,124,12.13307240704501,898,87.866927592955,269.66129032258044,173.58219178082192,635.6963884988808,0.7681017612524469,432.1532258064516,130.86666666666667,0,1873.0,743.60537403902,0,123.58730158730158,137.75438596491222,119.25000000000001
2011,175,5,0.39370078740157477,191,15.039370078740157,47,3.7007874015748032,6,0.47244094488188976,1021,80.39370078740158,0,0,0,1,61,5.974534769833497,1719.3934426229507,675.1311475409836,104,10.186092066601372,1697.2884615384614,1106.259615384615,84,8.227228207639568,2064.0476190476193,1535.4166666666667,772,75.61214495592556,1146.770725388601,2110.0833333333326,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,1390,1205,695,1339,0,4234.097857411975,855,904,172.2820763956905,146,14.299706170421157,123,12.047012732615084,898,87.95298726738491,269.1869918699188,174.30136986301375,635.6076675933248,0.7678746327130268,430.97983870967744,130.12903225806454,0,1709.0,743.9408409258857,0,124.26984126984127,134.73684210526318,119.25000000000001
2011,176,6,0.4728132387706856,188,14.814814814814813,47,3.7037037037037033,5,0.3940110323089046,1023,80.6146572104019,0,0,0,0,62,6.0606060606060606,1722.483870967742,678.3064516129032,103,10.068426197458455,1700.4077669902913,1106.0582524271847,84,8.211143695014663,2060.97619047619,1535.607142857143,774,75.65982404692082,1148.2506459948333,2105.360655737704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1390,1205,695,1340,0,4270.793250357509,859,907,172.6295210166178,144,14.076246334310852,124,12.121212121212121,899,87.87878787878788,265.2661290322582,173.89583333333337,635.5280652332732,0.7693059628543503,430.79838709677415,126.0,0,0,743.8330899949725,0,124.98387096774194,134.73684210526318,118.50943396226417
2011,177,8,0.6294256490952006,184,14.476789929189614,49,3.8552321007081036,7,0.5507474429583006,1023,80.48780487804879,0,0,0,0,62,6.0606060606060606,1723.483870967742,678.3064516129032,103,10.068426197458455,1701.4077669902913,1106.0582524271847,84,8.211143695014663,2061.97619047619,1535.607142857143,774,75.65982404692082,1149.2506459948333,2117.016393442622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1390,1205,695,1342,0,4202.551975159707,861,910,173.11827956989248,142,13.880742913000976,123,12.023460410557185,900,87.97653958944281,260.80487804878044,173.46478873239437,635.4567963817755,0.7712609970674477,430.3467741935484,123.43333333333332,0,0,743.8580355444898,0,124.98387096774194,134.73684210526318,118.50943396226417
