year,j_day,profile_SW,runoff,drainage,erosion,ET,manure_applied,manure_N_applied,manure_P_applied,profile_N,profile_P,N_runoff,P_runoff,N_drainage,P_drainage,N_erosion,P_erosion,yield,N_yield,P_yield
,,mm H2O,mm H2O,mm H2O,ton / ha,mm H2O,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
2011,140,872.0870229844833,0.0,0.0,0.0,12.551905298625115,0.0,0.0,0.0,13131.172062992382,374090.32196964987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,141,858.8356788848243,0.0,0.0,0.0,13.25134409965874,0.0,0.0,0.0,13155.595985254375,374089.602613835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,142,876.2108316681464,0.0,0.0,0.0,9.294847216677946,0.0,0.0,0.0,13176.327161412097,374088.35469517956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,143,885.3290980398965,0.0,0.0,0.0,13.995733628249882,0.0,0.0,0.0,13194.709682502886,374087.1517704386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,144,871.5821720975829,0.0,0.0,0.0,13.746925942313805,0.0,0.0,0.0,13213.54163539984,374086.00071934215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,145,887.5173661523555,0.0,0.0,0.0,10.734805945227281,0.0,0.0,0.0,13233.843659010006,374085.14867341204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,146,1089.3847721313098,129.9182404419369,0.0,0.13101188702459698,6.034353579108798,0.0,0.0,0.0,13042.443896122357,373951.20890772645,206.20445343377222,195.5196340787283,0.0,0.0,7.962461684953071,6.946436624253947,0.0,0.0,0.0
2011,147,1074.730994590725,0.0,0.0,0.0,14.653777540584938,0.0,0.0,0.0,13063.866759351977,373949.9795576756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,148,1064.3399030402932,0.0,0.0,0.0,12.169091550431759,0.0,0.0,0.0,13094.9803054373,373948.6793749365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,149,910.3350744607867,0.0,140.89272496418653,0.0,13.112103615319814,0.0,0.0,0.0,12868.931752345805,373943.1320445864,0.0,0.0,276.3513718733953,5.414292757326857,0.0,0.0,0.0,0.0,0.0
2011,150,911.9565476653779,0.0,0.0,0.0,9.046526795408763,0.0,0.0,0.0,12894.934664454599,373942.7987403459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,151,892.7408898926999,0.0,0.0,0.0,19.215657772678156,0.0,0.0,0.0,12915.126307093875,373942.08391056303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,152,875.6224122901093,0.0,0.0,0.0,17.11847760259061,0.0,0.0,0.0,12932.946960372816,373941.09840958583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,153,862.1627900147897,0.0,0.0,0.0,13.459622275319461,0.0,0.0,0.0,12948.511020812713,373940.5142847047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,154,850.5615340075306,0.0,0.0,0.0,11.60125600725919,0.0,0.0,0.0,12961.540991153299,373939.4219051686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,155,835.4767375097613,0.0,0.0,0.0,15.08479649776931,0.0,0.0,0.0,12973.291734927894,373938.1362314689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,156,820.5709465518738,0.0,0.0,0.0,14.905790957887387,0.0,0.0,0.0,12983.256180562426,373936.86148581776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,157,828.1917750902705,0.0,0.0,0.0,13.715171461603342,0.0,0.0,0.0,12993.666489345678,373935.7537854925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,158,811.2245900886658,0.0,0.0,0.0,16.96718500160478,0.0,0.0,0.0,13004.131135438407,373934.16751371115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,159,795.4925597805557,0.0,0.0,0.0,15.73203030811012,0.0,0.0,0.0,13012.914285409654,373932.66977833497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,160,837.7860751160284,0.0,0.0,0.0,14.602484664527239,0.0,0.0,0.0,13026.83871401384,373930.8030364567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,161,877.6626015733038,0.0,0.0,0.0,9.907473542724563,0.0,0.0,0.0,13034.79068568112,373928.8643022841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,162,897.1684438638856,0.0,0.0,0.0,10.720157709418148,0.0,0.0,0.0,13043.627351488985,373926.0905393137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,163,882.6106932107539,0.0,0.0,0.0,14.557750653131773,0.0,0.0,0.0,13071.250929822896,373923.22882909083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,164,868.9659355413949,0.0,0.0,0.0,13.644757669358954,0.0,0.0,0.0,13100.209680615302,373922.0735478718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,165,845.817382600723,0.0,5.903220201142836,0.0,17.245332739529026,0.0,0.0,0.0,13121.036894218696,373920.829449887,0.0,0.0,9.446384370632122,0.0010155652280390028,0.0,0.0,0.0,0.0,0.0
